nm_titulo,vl_media_taxa_homicidios,vl_avaliacao_media_ativos_fundo,vl_quantidade_imoveis,nm_setor,vl_valor,vl_liquidez_media_diaria,vl_pvp,vl_dividendo,vl_yeld,vl_soma_yield_3m,vl_soma_yield_6m,vl_soma_yield_12m,vl_media_yield_3m,vl_media_yield_6m,vl_media_yield_12m,vl_soma_yield_ano_corrente,vl_variacao_cotacao_mes,vl_rentabilidade_mes,vl_rentabilidade,vl_patrimonio,vl_vpa,vl_pvpa,vl_vpa_yield,vl_vpa_change,vl_vpa_rent_m,vl_vpa_rent,vl_ativos,vl_volatility,vl_numero_cotista,dt_inclusao,vl_vacancia_fisica,vl_vacancia_financeira
FIIB11,,,,,"410,00",1140.0,,"R$ 2,4000","0,5714%","1,7430%","3,5708%","7,4300%","0,5810%","0,5951%","0,6192%","0,5714%","0,0000%","0,5714%","0,5714%","R$ 266.424.657,4800","R$ 388,9411","1,0541","0,6171%","0,0000%","0,6171%","0,6171%",1,,,2018-03-01,"6,9800%",
FMOF11,,,,,"111,00",22.0,,"R$ 0,2600","0,2242%","0,8665%","1,5232%","2,9095%","0,2888%","0,2539%","0,2425%","0,4483%","0,0000%","0,2242%","0,4488%","R$ 66.916.095,9600","R$ 131,7225","0,8427","0,1974%","0,0000%","0,1974%","0,1974%",1,,,2018-03-01,"47,8000%",
MBRF11,,,,,"1.071,05",109.0,,"R$ 8,0000","0,7427%","2,1954%","2,9131%","7,5578%","0,7318%","0,4855%","0,6298%","1,4760%","-1,2686%","-0,5353%","0,1941%","R$ 116.092.942,4000","R$ 1.141,9277","0,9379","0,7006%","0,0000%","0,7006%","0,7006%",2,,,2018-03-01,"0,0000%",
PABY11,,,,,"25,61",40.0,,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 180.750.293,5500","R$ 238,3311","0,1075","0,0000%","0,0000%","0,0000%","0,0000%",1,,,2018-03-01,,
FPAB11,,,,,"360,00",36.0,,"R$ 1,9000","0,5236%","1,6281%","3,2174%","6,7533%","0,5427%","0,5362%","0,5628%","1,0588%","2,2254%","2,7606%","3,3105%","R$ 259.008.559,3200","R$ 345,3447","1,0424","0,5502%","0,0000%","0,5502%","0,5502%",1,,,2018-03-01,"6,5500%",
FFCI11,,,,,"174,03",1558.0,,"R$ 0,7000","0,4023%","1,1945%","2,9388%","7,6404%","0,3982%","0,4898%","0,6367%","0,8034%","-0,2865%","0,1146%","0,5162%","R$ 383.873.859,2000","R$ 176,9004","0,9838","0,3957%","0,0000%","0,3957%","0,3957%",8,,,2018-03-01,"7,5000%",
RNGO11,,,,,"95,30",4231.0,,"R$ 0,5400","0,5775%","1,7364%","3,4252%","7,0650%","0,5788%","0,5709%","0,5888%","1,1551%","0,0000%","0,5775%","1,1584%","R$ 248.402.549,1000","R$ 92,8261","1,0267","0,5817%","0,0000%","0,5817%","0,5817%",2,,,2018-03-01,"11,7000%",
SCPF11,,,,,"15,45",809.0,,"R$ 0,0710","0,4438%","1,9971%","3,8913%","7,7668%","0,6657%","0,6485%","0,6472%","1,4595%","14,2143%","14,7211%","15,8864%","R$ 46.843.087,3800","R$ 11,1531","1,3853","1,2750%","0,0000%","1,2750%","1,2750%",1,,,2018-03-01,,
SHPH11,,,,,"1.055,00",82.0,,"R$ 3,5500","0,3413%","1,2379%","2,3918%","4,7000%","0,4126%","0,3986%","0,3917%","0,8913%","3,9990%","4,3540%","4,9279%","R$ 425.715.507,6000","R$ 736,0825","1,4333","0,7472%","0,0000%","0,7472%","0,7472%",1,,,2018-03-01,"1,4000%",
ONEF11,,,,,"1.200,00",91.0,,"R$ 6,6500","0,5669%","1,6284%","3,2376%","6,7118%","0,5428%","0,5396%","0,5593%","1,1165%","-3,0579%","-2,5083%","-1,9725%","R$ 99.163.027,6100","R$ 1.088,5074","1,1024","0,6109%","0,0000%","0,6109%","0,6109%",1,,,2018-03-01,"0,0000%",
FIVN11,,,,,"6,00",17.0,,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",,"0,0000%","0,0000%","0,0000%","R$ 156.087.008,9900","R$ 16,5827","0,3618",,,,,0,,,2018-03-01,,
RBBV11,,,,,"76,45",2708.0,,"R$ 0,3613","0,4925%","1,8597%","3,4277%","5,7143%","0,6199%","0,5713%","0,4762%","1,3045%","12,9658%","13,5222%","14,4439%","R$ 125.978.792,5700","R$ 100,4484","0,7611","0,5249%","0,0000%","0,5249%","0,5249%",1,,,2018-03-01,,
JSRE11,,,,,"106,01",10656.0,,"R$ 0,5500","0,5171%","1,6946%","3,5092%","8,2142%","0,5649%","0,5849%","0,6845%","1,0783%","-0,4958%","0,0187%","0,5801%","R$ 707.884.023,2100","R$ 109,6994","0,9664","0,5469%","0,0000%","0,5469%","0,5469%",2,,,2018-03-01,"0,0000%",
KNRE11,,,,,"10,27",2461.0,,"R$ 0,0000","0,0000%","1,2100%","3,1300%","5,1300%","0,4033%","0,5217%","0,4275%","0,0000%","0,0000%","0,0000%","0,0000%","R$ 195.842.002,7400","R$ 1,0559","9,7262","0,0000%","0,0000%","0,0000%","0,0000%",0,,,2018-03-01,,
KNRI11,,,,,"169,50",14633.0,,"R$ 0,8200","0,4887%","1,4307%","3,0653%","6,7396%","0,4769%","0,5109%","0,5616%","0,8714%","3,5802%","4,0864%","4,4848%","R$ 2.222.099.776,4600","R$ 143,1377","1,1842","0,4331%","0,0000%","0,4331%","0,4331%",15,,,2018-03-01,"11,9000%","13,5800%"
KNCR11,,,,,"104,79",30546.0,,"R$ 0,5500","0,5207%","1,7393%","3,6191%","8,1972%","0,5798%","0,6032%","0,6831%","1,1469%","-1,2804%","-0,7664%","-0,1450%","R$ 2.934.798.409,7700","R$ 104,4452","1,0033","0,6415%","0,0000%","0,6415%","0,6415%",0,,,2018-03-01,,
MXRF11,,,,,"9,91",51241.0,,"R$ 0,0700","0,7307%","1,8821%","3,8492%","8,7870%","0,6274%","0,6415%","0,7322%","1,3563%","-0,1043%","0,6257%","1,2552%","R$ 298.539.364,9100","R$ 9,4826","1,0451","0,6327%","0,0000%","0,6327%","0,6327%",0,,,2018-03-01,,
