,Título,Ativos,CEPs,Ratings,estado_localidade
42,BLCP11,"['INDUSTRIAL CITYGATE CABREÚVA I', 'INDUSTRIAL CITYGATE CABREÚVA II']","['13317204', '13317204']","[None, None]","[{'estado': 'SP', 'localidade': 'Pinhal'}, {'estado': 'SP', 'localidade': 'Pinhal'}]"
43,BLMC11,[],[],[],[]
44,BLMG11,"['BMLOG EXTREMA', 'BMLOG SÃO BERNARDO DO CAMPO', 'BMLOG JANDIRA', 'BTS RIO DE JANEIRO']","['37640000', '09852070', '06624340', '20040007']","[3.4, 1, None, 4.6]","[{'estado': 'MG', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Cooperativa'}, {'estado': 'SP', 'localidade': 'Jardim Gabriela I'}, {'estado': 'RJ', 'localidade': 'Centro'}]"
45,BLMO11,['TORRE OESTE'],['04578000'],[4.5],"[{'estado': 'SP', 'localidade': 'Brooklin Paulista'}]"
46,BLMR11,[],[],[],[]
47,BLOG11,[],[],[],[]
48,BLUR11,[],[],[],[]
49,BMLC11,['TORRE RIO SUL'],['22290160'],[4.7],"[{'estado': 'RJ', 'localidade': 'Botafogo'}]"
50,BNFS11,"['AGÊNCIA QUARAI', 'AGÊNCIA ARROIO DO SAL', 'AGÊNCIA SANTA ROSA', 'AGÊNCIA BELÉM NOVO', 'AGÊNCIA SÃO GABRIEL', 'AGÊNCIA CAMBOIM', 'AGÊNCIA SAPIRANGA', 'AGÊNCIA CAMPINA', 'AGÊNCIA SCHARLAU', 'AGÊNCIA CASSINO', 'AGÊNCIA TANCREDO NEVES', 'AGÊNCIA CRUZ ALTA', 'AGÊNCIA TAQUARI', 'AGÊNCIA GENERAL CÂMARA', 'AGÊNCIA VACARIA', 'AGÊNCIA PADRE CLARET', 'AGÊNCIA VILA IPIRANGA', 'AGÊNCIA PAROBÉ']","['97560000', '95585000', '04009001', '91780060', '04506000', '93224150', '93815016', '01404200', '93125144', '03337000', '04287010', '98010750', '01234001', '90010230', '95200000', '01046010', '95630000']","[2.5, 3.1, 3.1, 3.1, 3.7, 3.3, 2.8, 3.9, 2, 5, 3.7, 3.7, 3.7, 3, 4.1, 1.7, 4.3]","[{'estado': 'RS', 'localidade': ''}, {'estado': 'RS', 'localidade': ''}, {'estado': 'SP', 'localidade': 'Vila Mariana'}, {'estado': 'RS', 'localidade': 'Belém Novo'}, {'estado': 'SP', 'localidade': 'Vila Nova Conceição'}, {'estado': 'RS', 'localidade': 'Camboim'}, {'estado': 'RS', 'localidade': 'Fazenda Leão'}, {'estado': 'SP', 'localidade': 'Jardim Paulista'}, {'estado': 'RS', 'localidade': 'Scharlau'}, {'estado': 'SP', 'localidade': 'Jardim Anália Franco'}, {'estado': 'SP', 'localidade': 'Vila Nancy'}, {'estado': 'RS', 'localidade': 'Centro'}, {'estado': 'SP', 'localidade': 'Pacaembu'}, {'estado': 'RS', 'localidade': 'Centro Histórico'}, {'estado': 'RS', 'localidade': ''}, {'estado': 'SP', 'localidade': 'República'}, {'estado': 'RS', 'localidade': ''}]"
51,BODB11,[],[],[],[]
