Título,Ativos
GZIT11,"['SHOPPING LIGHT', 'SHOPPING PRADO BOULERVARD', 'SHOPPING MORUMBI TOWN', 'INTERNACIONAL SHOPPING', 'MAIS SHOPPING']"
HAAA11,"['EDIFÍCIO WT MORUMBI', 'EDIFÍCIO THERA CORPORATE']"
HABT11,[]
HBCR11,"['PREDIO COMERCIAL DECATHLON GOIANIA', 'PREDIO COMERCIAL DECATHLON CAMPINAS', 'PREDIO COMERCIAL DECATHLON RAPOSO TAVARES', 'PREDIO COMERCIAL DECATHLON JOINVILLE', 'ASSAI CAUCAIA', 'CENTRO DE DISTRIBUIÇÃO GPA CAUCAIA']"
HBRH11,"['THE CITTYPLEX', 'ONE ELEVEN', 'NEOLINK OFFICE, MALL & STAY', 'BARRA PRIVATE', 'CONDOMÍNIO HELBOR TRILOGY HOME & OFFICES']"
HCHG11,[]
HCRA11,[]
HCRI11,['HOSPITAL DA CRIANÇA']
HCTR11,[]
HDEL11,['CITLOG VARGINHA']
HFOF11,[]
HGAG11,[]
HGBL11,"['CONDOMÍNIO LOGÍSTICO INDUSTRIAL SALTO', 'PARQUE ANHANGUERA']"
HGBS11,"['SHOPPING JARDIM SUL', 'FLORIPA SHOPPING', 'SHOPPING PARQUE DOM PEDRO', 'GOIABEIRAS SHOPPING CENTER', 'SHOPPING PRAÇA DA MOÇA', 'GRAND PLAZA SHOPPING', 'SHOPPING VILLA LOBOS', 'I FASHION OUTLET – NOVO HAMBURGO', 'SHOPPING WEST PLAZA', 'MOOCA PLAZA SHOPPING', 'SUZANO SHOPPING', 'SANTANA PARQUE SHOPPING', 'TIVOLI SHOPPING CENTER', 'SÃO BERNARDO PLAZA SHOPPING', 'VIA PARQUE SHOPPING', 'SHOPPING CENTER PENHA', 'SHOPPING FRANCA', 'SOPPING CAPIM DOURADO', 'BOULEVARD SHOPPING BAURU']"
HGCR11,[]
HGFF11,[]
HGIC11,[]
HGLG11,"['GERDAU RIO DE JANEIRO', 'BETIM', 'GR LOUVEIRA', 'BRASCABOS RIO CLARO', 'ITUPEVA G100', 'CONDOMÍNIO SJC', 'CREMER BLUMENAU', 'TECH TOWN', 'GALPÃO CONE G06', 'TETRA PAK MONTE MOR', 'GALPÕES EXTREMA', 'VOLKSWAGEN VINHEDO', 'HGLG SÃO CARLOS', 'HGLG DUQUE DE CAXIAS', 'BTEIM BTS - MELI', 'ITUPEVA G200', 'HGLG RIBEIRÃO', 'PARQUE TORINO', 'CLE', 'DCB', 'DCC', 'DCR', 'HGLG ITAPEVI', 'MASTER LABS', 'SYSLOG', 'GALPÃO CONE G03']"
HGPO11,"['EDIFÍCIO METROPOLITAN', 'EDIFÍCIO PLATINUM']"
HGRE11,"['BB ANTÔNIO DAS CHAGAS', 'ED. JATOBÁ CBOP', 'ED. BERRINI ONE', 'ED. PAULISTA STAR', 'CENTRO EMPRESARIAL CIDADE NOVA - TELEPORTO', 'ED. ROBERTO SAMPAIO FERREIRA', 'CENTRO EMPRESARIAL DE SÃO PAULO', 'EMPRESARIAL TRANSATLÂNTICO', 'GVT CURITIBA', 'CENTRO EMPRESARIAL GUAÍBA', 'SERCOM TABOÃO', 'ED. BRASILINTERPART', 'TORRE MARTINIANO', 'ED. CHUCRI ZAIDAN', 'CENTRO EMPRESARIAL SÊNECA']"
HGRS11,"['EDIFÍCIO FARIA LIMA', 'JML 747']"
HGRU11,"[""SAM'S CLUB BARIGUI"", 'ANGÉLICA - SÃO JUDAS', 'UNIVERSIDADE ESTÁCIO DE SÁ', 'IBMEC BARRA', ""SAM'S CLUB SÃO JOSÉ DOS CAMPOS"", 'BIG SÃO BERNARDO', 'SANTO ALBERTO', 'PERNAMBUCANAS BANDEIRANTES', 'ATACADÃO SÃO CARLOS', 'PERNAMBUCANAS TELÊMACO BORBA', 'PERNAMBUCANAS IBIPORÃ', 'PERNAMBUCANAS CARAPICUÍBA', 'MINEIRÃO JOÃO PESSOA', 'PERNAMBUCANAS ITAPECERICA DA SERRA', 'MINEIRÃO UBERLÂNDIA', 'PERNAMBUCANAS MARECHAL CANDIDO RONDON', 'PERNAMBUCANAS ITUVERAVA', 'PERNAMBUCANAS PALMAS', 'MINEIRÃO CONTAGEM', 'PERNAMBUCANAS PINDAMONHANGABA', 'PERNAMBUCANAS MARILIA', 'PERNAMBUCANAS TATUI', 'PERNAMBUCANAS ITAPIRA', 'PERNAMBUCANAS PASSOS', ""SAM'S CLUB GRANJA VIANA"", 'PERNAMBUCANAS MIRANDÓPOLIS', 'MINEIRÃO JUIZ DE FORA', 'PERNAMBUCANAS POÇOS DE CALDAS', 'PERNAMBUCANAS MAUÁ', 'PERNAMBUCANAS CAMPO LARGO', 'PERNAMBUCANAS ARAGUARI', 'PERNAMBUCANAS BARRETOS', ""SAM'S CLUB ATUBA"", 'PERNAMBUCANAS AMPARO', 'PERNAMBUCANAS ADAMANTINA', 'PERNAMBUCANAS BELO HORIZONTE', 'MINEIRÃO UBERABA', 'PERNAMBUCANAS CRUZEIRO', 'PERNAMBUCANAS PEREIRA BARRETO', 'PERNAMBUCANAS PRESIDENTE EPITÁCIO', 'PERNAMBUCANAS ITAPEVA', 'PERNAMBUCANAS RIBEIRÃO PRETO', 'PERNAMBUCANAS APIAÍ', 'PERNAMBUCANAS MACHADO', 'PERNAMBUCANAS CAPÃO BONITO', 'PERNAMBUCANAS GUAÍRA', 'PERNAMBUCANAS ITU', 'PERNAMBUCANAS JUNDIAI', 'PERNAMBUCANAS ITAPETININGA', 'PERNAMBUCANAS TAQUARITUBA', 'BIG INDIANÓPOLIS', 'PERNAMBUCANAS DRACENA', 'PERNAMBUCANAS LINS', 'PERNAMBUCANAS OLÍMPIA', 'PERNAMBUCANAS SÃO JOSÉ DO RIO PARDO', 'PERNAMBUCANAS ITARARÉ', 'PERNAMBUCANAS BARRA BONITA', 'PERNAMBUCANAS ITANHAÉM', 'EDIFÍCIO SANTO ALBERTO', 'CRUZEIRO DO SUL', 'DUTRA 107', 'ATACADÃO INDIANÓPOLIS', 'ATACADÃO VILA GUILHERME', ""SAM'S CLUB TATUAPÉ"", 'ATACADÃO SÃO BERNARDO', 'ATACADÃO CAMBÉ', 'SENDAS FOZ DO IGUAÇU', 'PERNAMBUCANAS PIRAJÚ']"
HILG11,[]
HLOG11,"['GALPÃO VILA PRUDENTE', 'CONDOMÍNIO VIRACOPOS', 'CITLOG SUL DE MINAS', 'PARQUE ANHANGUERA']"
HOFC11,"['EDIFÍCIO CORPORATE ALAMEDAS', 'EDIFÍCIO RACHID SALIBA', 'EDIFÍCIO BIRMANN 20', 'EDIFÍCIO MORUMBI']"
HOSI11,"['HOUSI JAÚ', 'HOUSI URUSSUÍ']"
HPDP11,['SHOPPING PARQUE DOM PEDRO']
