,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
297,NEWU11,Lajes Corporativas,"79,00","14.389,12","1,12","0,07","0,00 %","0,18 %","0,56 %","2,23 %","0,18 %","0,56 %","0,19 %","1,45 %","0,00 %","0,00 %",N/A,"53.005.496,25","71,44","1,11","0,10 %","2,63 %","2,73 %","10,09 %",3,"35,88",1.283,N/A,N/A,N/A,2024-09-01
298,NEXG11,Agricultura,"112,20","14.635,60","1,17","0,99","0,00 %","1,57 %","4,02 %","4,73 %","0,52 %","0,67 %","0,68 %","4,73 %","0,00 %","0,00 %",N/A,"17.956.943,70","96,24","1,17","0,84 %","0,00 %","0,00 %","0,00 %",0,"3,73",382,N/A,N/A,N/A,2024-09-01
299,NSLU11,Hospitalar,"182,50","80.019,63","0,89","1,53","0,83 %","2,52 %","5,09 %","10,07 %","0,84 %","0,85 %","0,84 %","7,55 %","-0,73 %","0,10 %","4,26 %","266.164.014,75","205,75","0,89","0,73 %","3,43 %","4,19 %","10,55 %",1,"16,03",5.861,N/A,N/A,N/A,2024-09-01
300,NUIF11,Indefinido,"104,03","223.704,58",N/A,"1,10","1,07 %","3,14 %","4,24 %","4,24 %","1,05 %","0,71 %","0,42 %","4,24 %","0,97 %","2,05 %","5,78 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,14",0,N/A,N/A,N/A,2024-09-01
301,NVHO11,Hospitalar,"12,44","4.349,50","0,88","0,08","0,64 %","2,09 %","4,45 %","8,86 %","0,70 %","0,74 %","0,74 %","6,63 %","18,78 %","19,54 %","26,78 %","636.504.447,00","15,34","0,81","0,49 %","9,96 %","10,51 %","29,30 %",4,"42,18",2.072,N/A,N/A,N/A,2024-09-01
302,NVIF11B,Fundo de Desenvolvimento,"227,50",N/A,"0,91","1,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"84.084.892,18","249,21","0,91","0,36 %","-20,24 %","-19,96 %","-0,30 %",2,N/A,7,N/A,N/A,N/A,2024-09-01
303,OBAL11,Imóveis Residenciais,"987,09","106.664,00","0,90","226,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"155.032.871,85",N/A,N/A,N/A,N/A,N/A,N/A,4,"196,50",108,N/A,N/A,N/A,2024-09-01
304,OCRE11,Papéis,"100,00","23.387,11","1,00","0,74","0,75 %","0,75 %","3,03 %","6,88 %","0,75 %","0,51 %","0,57 %","4,97 %","0,00 %","0,00 %",N/A,"42.095.198,82",N/A,N/A,N/A,N/A,N/A,N/A,0,"48,98",669,N/A,N/A,N/A,2024-09-01
305,OGHY11,Indefinido,"8,72","22.847,10","0,92","9,40","0,00 %","0,00 %","0,00 %","3,98 %","0,00 %","0,00 %","0,40 %","0,99 %","0,00 %","0,00 %",N/A,"25.780.971,88",N/A,N/A,N/A,N/A,N/A,N/A,0,"23,41",1.565,N/A,N/A,N/A,2024-09-01
306,OGIN11,Misto,"10,11","69.618,16",N/A,"0,13","1,30 %","3,99 %","8,10 %","16,09 %","1,33 %","1,35 %","1,34 %","12,25 %","1,63 %","2,95 %","29,24 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,39",0,N/A,N/A,N/A,2024-09-01
307,OIAG11,Indefinido,"8,20","161.275,14","0,84","0,10","1,20 %","3,51 %","7,29 %","15,03 %","1,17 %","1,22 %","1,25 %","9,75 %","1,93 %","3,15 %","0,08 %","88.635.032,58","9,81","0,84","0,92 %","0,00 %","0,00 %","0,00 %",0,"12,23",13.359,N/A,N/A,N/A,2024-09-01
308,ONEF11,Lajes Corporativas,"200,03","114.431,47","1,09","2,85","0,00 %","0,00 %","0,00 %","2,03 %","0,00 %","0,00 %","0,17 %","0,00 %","0,00 %","0,00 %",N/A,"166.518.054,63","182,79","1,09","17,78 %","-9,26 %","6,88 %","30,26 %",1,"13,09",2.602,N/A,N/A,N/A,2024-09-01
309,OPTM11,Misto,N/A,N/A,N/A,"0,32","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"5.042.046,35",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,63,N/A,N/A,N/A,2024-09-01
310,ORPD11,Fundo de Desenvolvimento,"93,00","402,75","0,65","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"41.755.979,62","124,68","0,75","1,11 %","0,95 %","2,06 %","2,06 %",0,"24,80",6,N/A,N/A,N/A,2024-09-01
311,OUFF11,Fundo de Fundos,"61,10","264.340,11","0,78","0,76","1,25 %","2,28 %","5,18 %","11,24 %","0,76 %","0,86 %","0,94 %","7,10 %","-1,44 %","-0,20 %","-4,01 %","142.517.935,82","78,55","0,78","0,96 %","3,49 %","4,49 %","11,00 %",3,"11,77",7.002,N/A,N/A,N/A,2024-09-01
312,OUJP11,Papéis,"79,51","244.435,93","0,81","0,85","1,07 %","3,11 %","6,13 %","12,16 %","1,04 %","1,02 %","1,01 %","8,99 %","0,49 %","1,57 %","-8,76 %","321.006.995,60","98,70","0,81","0,83 %","-1,19 %","-0,37 %","14,50 %",0,"15,94",29.685,N/A,N/A,N/A,2024-09-01
313,OULG11,Imóveis Industriais e Logísticos,"29,62","73.896,00","0,46","0,30","0,93 %","0,00 %","0,00 %","5,06 %","0,00 %","0,00 %","0,42 %","0,93 %","1,96 %","2,90 %","2,90 %","158.719.954,04","61,46","0,48","0,49 %","-8,15 %","-7,70 %","-14,55 %",2,"18,15",4.605,N/A,N/A,N/A,2024-09-01
314,OURE11,Misto,"78,20","224.923,68","0,78","1,09","1,39 %","2,66 %","6,40 %","12,95 %","0,89 %","1,07 %","1,08 %","8,68 %","3,84 %","5,28 %","19,42 %","108.172.369,31","100,43","0,78","1,08 %","10,33 %","11,52 %","23,93 %",3,"12,36",6.123,N/A,N/A,N/A,2024-09-01
315,PABY11,Fundo de Desenvolvimento,"14,14","466,10",N/A,"0,13",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"-18.211.732,69","251,42","0,06","0,00 %","1,74 %","1,74 %","5,49 %",15,"81,66",567,N/A,N/A,N/A,2024-09-01
316,PATA11,Misto,N/A,N/A,N/A,"0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"16.010.289,00",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,184,N/A,N/A,N/A,2024-09-01
317,PATB11,Lajes Corporativas,N/A,N/A,N/A,"1,18","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"794.680.199,70",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,1,N/A,N/A,N/A,2024-09-01
318,PATC11,Fundo de Desenvolvimento,"36,02","100.905,96","0,88","0,12","0,33 %","0,89 %","1,56 %","16,05 %","0,89 %","0,26 %","1,34 %","6,85 %","4,83 %","5,18 %","-0,24 %","142.966.820,25","41,11","0,88","0,24 %","-46,18 %","-46,05 %","-48,49 %",4,"41,11",7.649,N/A,N/A,N/A,2024-09-01
319,PATL11,Imóveis Industriais e Logísticos,"60,73","326.286,96","0,62","0,57","0,93 %","2,84 %","5,67 %","11,09 %","0,95 %","0,95 %","0,92 %","8,35 %","1,89 %","2,84 %","7,71 %","490.852.254,89","98,34","0,62","0,58 %","0,22 %","0,81 %","8,36 %",4,"16,09",25.904,N/A,N/A,N/A,2024-09-01
320,PCAS11,Indefinido,N/A,N/A,N/A,"142,86","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"343.410.522,52",N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,100,N/A,N/A,N/A,2024-09-01
321,PEMA11,Papéis,"29,15","496,50","0,41","0,89","0,00 %","0,00 %","0,82 %","10,86 %","0,00 %","0,82 %","0,91 %","4,50 %","0,00 %","0,00 %",N/A,"37.623.057,07",N/A,N/A,N/A,N/A,N/A,N/A,0,"111,80",342,N/A,N/A,N/A,2024-09-01
322,PFIN11,Indefinido,"75,50","168.738,16",N/A,"1,20","1,58 %","1,58 %","1,58 %","4,64 %","0,53 %","0,26 %","0,39 %","1,58 %","10,38 %","12,13 %","12,13 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"13,18",0,N/A,N/A,N/A,2024-09-01
323,PICE11,Indefinido,"40,00","72.322,89",N/A,"0,25","0,66 %","0,66 %","2,80 %","7,22 %","0,66 %","0,47 %","0,60 %","4,66 %","-12,21 %","-11,63 %","-40,36 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"34,81",0,N/A,N/A,N/A,2024-09-01
324,PLCA11,Indefinido,"78,78","27.340,82","0,82","0,88","1,13 %","3,48 %","7,03 %","14,47 %","1,16 %","1,17 %","1,21 %","10,62 %","1,76 %","2,91 %","7,32 %","52.898.104,12","94,97","0,83","0,95 %","0,00 %","0,00 %","0,00 %",0,"15,25",2.661,N/A,N/A,N/A,2024-09-01
325,PLCR11,Papéis,"85,23","310.138,38","0,93","0,75","0,88 %","2,68 %","5,39 %","11,07 %","0,89 %","0,90 %","0,92 %","8,16 %","1,10 %","1,99 %","7,58 %","193.644.213,40","91,81","0,93","0,82 %","1,24 %","2,06 %","12,35 %",0,"11,18",15.703,N/A,N/A,N/A,2024-09-01
326,PLOG11,Imóveis Industriais e Logísticos,"66,71","70.165,04","0,63","0,70","0,99 %","3,05 %","6,10 %","12,13 %","1,02 %","1,02 %","1,01 %","4,09 %","2,01 %","3,02 %","0,55 %","79.648.071,76","100,39","0,66","0,75 %","-0,02 %","0,72 %","8,77 %",1,"16,63",3.284,N/A,N/A,N/A,2024-09-01
327,PLRI11,Papéis,"13,00","2.818,74","0,63","1,83","17,50 %","17,50 %","21,61 %","29,33 %","5,83 %","3,60 %","2,44 %","29,33 %","0,00 %","0,00 %",N/A,"19.785.196,27","20,73","0,63","0,27 %","-35,54 %","-35,37 %","-45,02 %",0,"255,24",638,N/A,N/A,N/A,2024-09-01
328,PMFO11,Misto,"96,59","100,00","1,04","0,84","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,87 %","0,00 %","0,00 %",N/A,"74.252.503,94",N/A,N/A,N/A,N/A,N/A,N/A,0,"797,22",93,N/A,N/A,N/A,2024-09-01
329,PMIS11,Misto,"9,24","174.735,38","0,97","0,10","1,08 %","3,20 %","6,51 %","7,58 %","1,07 %","1,09 %","0,84 %","7,58 %","-6,84 %","-5,83 %","5,44 %","118.487.452,87",N/A,N/A,N/A,N/A,N/A,N/A,0,"34,93",8.013,N/A,N/A,N/A,2024-09-01
330,PNCR11,Imóveis Residenciais,"68,03","306.135,00","0,99","0,83","1,37 %","1,37 %","1,37 %","1,37 %","0,46 %","0,23 %","0,11 %","1,37 %","0,00 %","0,00 %",N/A,"34.496.622,12",N/A,N/A,N/A,N/A,N/A,N/A,0,"562,79",110,N/A,N/A,N/A,2024-09-01
