,Título,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,Tx Gestão,Tx Admin,Tx Performance,dt_inclusao
0,AAGR11,Indefinido,"97,86","3.409,33",N/A,"1,17","1,19 %","3,46 %","6,85 %","6,85 %","1,15 %","1,37 %","1,37 %","6,85 %","1,27 %","2,48 %","12,91 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"71,20",0,N/A,N/A,N/A,2024-09-01
1,AAZQ11,Indefinido,"7,94","393.550,55","0,92","0,10","1,19 %","3,92 %","7,77 %","15,78 %","1,31 %","1,30 %","1,32 %","11,78 %","2,31 %","3,53 %","0,77 %","208.872.390,55","8,69","0,91","1,27 %","0,00 %","0,00 %","0,00 %",0,"17,35",29.430,N/A,N/A,N/A,2024-09-01
2,ABCP11,Shoppings,"72,28","33.658,97","0,70","0,62","0,85 %","2,30 %","4,31 %","9,68 %","0,77 %","0,72 %","0,81 %","7,00 %","10,58 %","11,52 %","15,02 %","479.965.760,58","101,92","0,71","0,34 %","11,00 %","11,38 %","19,31 %",1,"15,64",15.924,N/A,N/A,N/A,2024-09-01
3,AFHI11,Papéis,"97,26","600.223,74","1,01","0,95","0,99 %","3,00 %","5,98 %","12,35 %","1,00 %","1,00 %","1,03 %","8,00 %","0,41 %","1,40 %","10,15 %","438.758.075,78","96,31","1,01","0,99 %","1,41 %","2,41 %","8,83 %",0,"6,34",40.791,N/A,N/A,N/A,2024-09-01
4,AGRX11,Outros,"10,10","392.675,02",N/A,"0,13","1,34 %","4,09 %","7,76 %","16,21 %","1,36 %","1,29 %","1,35 %","10,54 %","1,89 %","3,26 %","1,98 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"15,77",0,N/A,N/A,N/A,2024-09-01
5,AIEC11,Lajes Corporativas,"54,30","437.881,63","0,64","0,73","1,33 %","4,08 %","8,26 %","16,50 %","1,36 %","1,38 %","1,38 %","12,48 %","2,50 %","3,87 %","15,48 %","407.756.730,47","84,51","0,64","0,86 %","-9,62 %","-8,84 %","-7,79 %",2,"14,38",17.908,N/A,N/A,N/A,2024-09-01
6,AJFI11,Shoppings,"8,21","189.550,85","0,67","0,07","0,81 %","2,24 %","4,59 %","6,92 %","0,75 %","0,77 %","0,87 %","6,18 %","3,58 %","4,42 %","-6,19 %","387.608.531,51",N/A,N/A,N/A,N/A,N/A,N/A,0,"14,40",13.696,N/A,N/A,N/A,2024-09-01
7,ALMI11,Lajes Corporativas,"599,29","30.180,81","0,29","6,27","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,98 %","0,00 %","0,00 %",N/A,"240.866.532,11","2.046,78","0,29","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"31,22",2.130,N/A,N/A,N/A,2024-09-01
8,ALZC11,Papéis,"96,00","9.233,05",N/A,"1,18","0,00 %","2,40 %","4,88 %","4,88 %","0,80 %","1,22 %","1,22 %","4,88 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,05",0,N/A,N/A,N/A,2024-09-01
9,ALZM11,Fundo de Fundos,"7,71","95.531,29","0,94","0,09","1,10 %","3,26 %","6,35 %","12,61 %","1,09 %","1,06 %","1,05 %","8,69 %","-0,13 %","0,97 %","1,57 %","125.240.550,88","8,25","0,93","1,03 %","-91,09 %","-90,99 %","-90,62 %",0,"13,71",11.037,N/A,N/A,N/A,2024-09-01
10,ALZR11,Misto,"107,99","894.693,52","1,01","0,76","0,70 %","2,04 %","4,09 %","8,43 %","0,68 %","0,68 %","0,70 %","5,48 %","-0,45 %","0,24 %","0,18 %","1.307.424.361,27","106,93","1,01","0,66 %","0,04 %","0,70 %","8,76 %",17,"8,26",153.681,N/A,N/A,N/A,2024-09-01
11,APTO11,Imóveis Residenciais,"9,54","18.095,54","0,95","0,09","0,95 %","2,89 %","5,68 %","11,47 %","0,96 %","0,95 %","0,96 %","8,54 %","1,93 %","2,90 %","9,45 %","46.384.329,20","10,06","0,95","0,89 %","1,00 %","1,91 %","16,36 %",4,"19,95",9.449,N/A,N/A,N/A,2024-09-01
12,APXM11,Shoppings,"97,00","20.547,60","1,02","0,54","0,54 %","1,57 %","2,20 %","5,24 %","0,52 %","0,37 %","0,48 %","3,36 %","0,45 %","1,00 %","1,80 %","168.792.690,09",N/A,N/A,N/A,N/A,N/A,N/A,1,"40,67",374,N/A,N/A,N/A,2024-09-01
13,ARCT11,Imóveis Industriais e Logísticos,"87,13","1.053.903,45","0,87","0,50","0,00 %","1,30 %","3,82 %","12,55 %","0,43 %","0,64 %","1,05 %","0,00 %","0,00 %","0,00 %",N/A,"371.534.654,03","99,77","0,87","0,76 %","0,04 %","0,80 %","6,31 %",9,"15,63",43.228,N/A,N/A,N/A,2024-09-01
14,AROA11,Imóveis Industriais e Logísticos,"0,98","7.572,29","1,00","0,01","0,63 %","1,91 %","3,78 %","5,30 %","0,64 %","0,63 %","0,44 %","5,30 %","1,03 %","1,67 %","-25,45 %","165.682.196,20",N/A,N/A,N/A,N/A,N/A,N/A,6,"140,30",2.838,N/A,N/A,N/A,2024-09-01
15,ARRI11,Papéis,"9,02","305.037,38","1,05","0,10","1,11 %","3,40 %","6,83 %","13,58 %","1,13 %","1,14 %","1,13 %","10,23 %","0,00 %","1,11 %","13,49 %","153.820.486,66","8,58","1,05","1,22 %","-3,16 %","-1,98 %","-89,22 %",0,"7,80",26.768,N/A,N/A,N/A,2024-09-01
16,ARXD11,Papéis,"100,20","151.363,91","1,01","1,05","1,06 %","3,34 %","6,70 %","12,05 %","1,11 %","1,12 %","1,00 %","9,92 %","2,17 %","3,25 %","20,00 %","64.255.432,13",N/A,N/A,N/A,N/A,N/A,N/A,0,"19,83",542,N/A,N/A,N/A,2024-09-01
17,ASMT11,Lajes Corporativas,"39,09","14.716,64","0,44","0,77","1,11 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","2,16 %","-5,50 %","-4,46 %","-5,89 %","98.262.806,53",N/A,N/A,N/A,N/A,N/A,N/A,3,"59,45",477,N/A,N/A,N/A,2024-09-01
18,ASRF11,Indefinido,"10.882,00","266.352,50","1,12","256,33","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"28.575.918,37",N/A,N/A,N/A,N/A,N/A,N/A,2,"88,94",67,N/A,N/A,N/A,2024-09-01
19,ATSA11,Shoppings,"54,98","509,71","0,72","0,72","1,30 %","1,30 %","1,30 %","1,30 %","0,43 %","0,22 %","0,11 %","1,30 %","0,00 %","0,00 %",N/A,"133.638.317,63","76,31","0,72","0,94 %","-6,30 %","-5,42 %","-14,10 %",1,"16,68",280,N/A,N/A,N/A,2024-09-01
20,AURB11,Imóveis Comerciais - Outros,"86,00","461,50","1,11","0,20","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"69.367.039,80",N/A,N/A,N/A,N/A,N/A,N/A,2,"55,98",20,N/A,N/A,N/A,2024-09-01
21,AZPL11,Serviços Financeiros Diversos,"10,00",N/A,N/A,"0,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"182.611.415,90",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A,2024-09-01
22,BARI11,Papéis,"78,52","243.810,59","0,86","0,80","1,01 %","3,02 %","5,89 %","11,11 %","1,01 %","0,98 %","0,93 %","8,97 %","-0,40 %","0,60 %","11,68 %","427.954.859,89","92,35","0,85","0,81 %","-3,16 %","-2,37 %","2,04 %",2,"14,99",40.129,N/A,N/A,N/A,2024-09-01
23,BBFI11B,Lajes Corporativas,"1.257,10","182.918,19","0,37","634,23","47,51 %","47,51 %","68,39 %","72,00 %","15,84 %","11,40 %","6,00 %","69,77 %","4,22 %","53,73 %","119,39 %","195.870.714,24","1.510,67","0,83","6,65 %","-30,27 %","-25,64 %","-39,40 %",3,"43,40",7.564,N/A,N/A,N/A,2024-09-01
24,BBFO11,Fundo de Fundos,"71,58","338.623,47","0,90","0,65","0,90 %","2,76 %","5,50 %","10,85 %","0,92 %","0,92 %","0,90 %","8,20 %","0,93 %","1,84 %","12,86 %","320.843.986,77","80,13","0,89","0,80 %","-1,96 %","-1,17 %","3,53 %",0,"10,47",6.777,N/A,N/A,N/A,2024-09-01
25,BBGO11,Indefinido,"83,37","79.108,80","0,86","0,95","1,14 %","3,28 %","6,10 %","11,78 %","1,09 %","1,02 %","0,98 %","9,62 %","3,17 %","4,35 %","10,40 %","391.844.252,24","97,83","0,85","0,84 %","-0,11 %","0,73 %","8,89 %",0,"11,42",12.593,N/A,N/A,N/A,2024-09-01
26,BBIG11,Serviços Financeiros Diversos,"9,30","766.400,88","0,97","0,08","0,86 %","2,61 %","3,45 %","3,45 %","0,87 %","1,15 %","1,15 %","3,45 %","1,86 %","2,73 %","-0,05 %","960.632.323,04",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,97",16.351,N/A,N/A,N/A,2024-09-01
27,BBIM11,Papéis,N/A,N/A,N/A,"0,34","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"12.548.782,67","12,12",N/A,"1,65 %","-59,65 %","-58,99 %","-71,30 %",0,N/A,20,N/A,N/A,N/A,2024-09-01
28,BBPO11,Agências de Bancos,"96,75","1.815.419,70","1,01","0,98","0,96 %","2,89 %","5,75 %","11,55 %","0,96 %","0,96 %","0,96 %","8,62 %","1,55 %","2,53 %","21,90 %","1.617.767.163,16","101,62","0,95","0,95 %","1,10 %","2,07 %","19,49 %",62,"10,28",67.235,N/A,N/A,N/A,2024-09-01
29,BBRC11,Agências de Bancos,"115,11","93.053,88","1,12","1,11","0,97 %","3,04 %","6,10 %","12,10 %","1,01 %","1,02 %","1,01 %","9,07 %","2,13 %","3,12 %","12,56 %","163.431.281,51","102,79","1,12","1,12 %","-4,52 %","-3,46 %","7,53 %",20,"10,04",9.559,N/A,N/A,N/A,2024-09-01
30,BCFF11,Fundo de Fundos,"8,49","1.540.661,83","0,91","0,07","0,86 %","2,54 %","5,00 %","9,73 %","0,85 %","0,83 %","0,81 %","6,56 %","-1,09 %","-0,24 %","-1,67 %","1.881.648.103,44","9,34","0,91","0,75 %","-87,36 %","-87,27 %","-87,29 %",1,"16,03",356.388,N/A,N/A,N/A,2024-09-01
31,BCIA11,Fundo de Fundos,"101,59","822.768,10","0,96","0,87","0,85 %","2,58 %","5,13 %","10,17 %","0,86 %","0,86 %","0,85 %","7,59 %","0,56 %","1,42 %","13,06 %","393.592.792,91","105,83","0,96","0,82 %","5,56 %","6,42 %","11,22 %",0,"12,40",29.228,N/A,N/A,N/A,2024-09-01
32,BCRI11,Papéis,"69,38","252.210,04","0,80","0,81","1,17 %","3,57 %","6,88 %","14,16 %","1,19 %","1,15 %","1,18 %","10,03 %","6,32 %","7,56 %","14,41 %","543.353.061,21","86,83","0,80","0,86 %","-13,95 %","-13,21 %","-6,72 %",0,"12,09",44.428,N/A,N/A,N/A,2024-09-01
33,BDIF11,Indefinido,"84,34","1.500.347,70",N/A,"0,75","0,88 %","2,88 %","6,23 %","13,59 %","0,96 %","1,04 %","1,13 %","8,45 %","-3,01 %","-2,15 %","3,56 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"11,72",0,N/A,N/A,N/A,2024-09-01
34,BDIV11,Indefinido,"123,24","1.020.994,38",N/A,"8,00","6,26 %","6,26 %","12,78 %","25,61 %","2,09 %","2,13 %","2,13 %","19,58 %","4,22 %","10,75 %","34,94 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,57",0,N/A,N/A,N/A,2024-09-01
35,BETW11,Indefinido,N/A,N/A,N/A,"0,51","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"251.672.010,80",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,1,N/A,N/A,N/A,2024-09-01
36,BICE11,Fundo de Fundos,"925,25","21.196,00","0,92","4,75","0,51 %","2,26 %","3,11 %","5,08 %","0,75 %","0,52 %","0,42 %","4,43 %","-1,17 %","-0,67 %","1,97 %","105.893.364,19","1.009,93","0,92","0,75 %","1,32 %","2,08 %","9,46 %",0,"39,61",114,N/A,N/A,N/A,2024-09-01
37,BICR11,Papéis,"40,59","13.785,00","0,94","0,26","0,63 %","1,58 %","2,54 %","42,88 %","0,53 %","0,42 %","3,57 %","2,78 %","-34,35 %","-33,94 %","-18,31 %","22.237.847,99","44,48","0,91","0,58 %","-55,22 %","-54,96 %","-50,59 %",0,"97,65",562,N/A,N/A,N/A,2024-09-01
38,BIDB11,Indefinido,"90,47","168.948,31",N/A,"1,03","1,14 %","3,14 %","6,59 %","13,49 %","1,05 %","1,10 %","1,12 %","10,56 %","0,09 %","1,23 %","17,96 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"10,15",0,N/A,N/A,N/A,2024-09-01
39,BIME11,Indefinido,"7,38","71.908,42","0,86","0,09","1,19 %","3,45 %","6,83 %","13,48 %","1,15 %","1,14 %","1,12 %","9,03 %","1,27 %","2,48 %","10,17 %","49.941.878,59","8,48","0,87","0,94 %","-6,09 %","-5,20 %","1,64 %",3,"7,62",8.808,N/A,N/A,N/A,2024-09-01
40,BIPD11,Indefinido,"915,10","94.906,00","0,91","73,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"79.798.788,87",N/A,N/A,N/A,N/A,N/A,N/A,1,"31,22",111,N/A,N/A,N/A,2024-09-01
41,BLCA11,Indefinido,"100,38","139.325,54","0,83","0,55","0,54 %","1,51 %","2,94 %","18,49 %","0,50 %","0,49 %","1,54 %","7,83 %","-0,10 %","0,44 %","-14,14 %","193.528.510,61","120,96","0,83","0,41 %","-15,78 %","-15,43 %","19,57 %",1,"36,32",470,N/A,N/A,N/A,2024-09-01
42,BLCP11,Imóveis Industriais e Logísticos,"91,00","103.127,50","0,81","0,56","0,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","4,26 %","0,00 %","0,00 %",N/A,"256.580.339,90","111,74","0,81","0,50 %","-0,02 %","0,49 %","15,81 %",2,"0,87",279,N/A,N/A,N/A,2024-09-01
43,BLMC11,Papéis,"85,75","150.671,33","0,91","5,34","0,00 %","0,00 %","0,00 %","4,06 %","0,00 %","0,00 %","0,34 %","0,74 %","0,00 %","0,00 %",N/A,"37.827.096,12","94,69","0,91","1,13 %","-1,48 %","-0,36 %","2,88 %",0,"22,59",94,N/A,N/A,N/A,2024-09-01
44,BLMG11,Imóveis Industriais e Logísticos,"41,95","724.796,56","0,58","0,50","1,31 %","3,69 %","7,14 %","13,57 %","1,23 %","1,19 %","1,13 %","9,36 %","-0,08 %","1,23 %","-13,53 %","308.399.113,97","72,24","0,58","0,62 %","-24,70 %","-24,23 %","-20,97 %",2,"19,34",14.115,N/A,N/A,N/A,2024-09-01
45,BLMO11,Lajes Corporativas,"79,97","22.471,35","0,75","0,45","0,58 %","1,69 %","3,21 %","173,48 %","0,56 %","0,54 %","14,46 %","4,20 %","-0,72 %","-0,14 %","-9,98 %","103.548.632,36","104,09","0,77","0,43 %","-99,65 %","-99,65 %","-99,60 %",1,"56,79",394,N/A,N/A,N/A,2024-09-01
46,BLMR11,Fundo de Fundos,"6,78","1.157.702,33","0,84","0,37","0,00 %","0,00 %","0,00 %","2,38 %","0,00 %","0,00 %","0,20 %","0,00 %","0,00 %","0,00 %",N/A,"205.957.834,72","7,61","0,89","0,70 %","-1,68 %","-0,99 %","1,82 %",0,"16,63",17.316,N/A,N/A,N/A,2024-09-01
47,BLOG11,Misto,N/A,N/A,N/A,"0,08","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"145.898.873,99",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,5,N/A,N/A,N/A,2024-09-01
48,BLUR11,Papéis,"79,31","2.550,25","0,93","0,71","0,81 %","0,81 %","3,69 %","6,95 %","0,81 %","0,62 %","0,58 %","4,44 %","0,00 %","0,00 %",N/A,"7.667.535,97",N/A,N/A,N/A,N/A,N/A,N/A,0,"71,56",136,N/A,N/A,N/A,2024-09-01
49,BMLC11,Lajes Corporativas,"95,84","26.079,04","1,01","0,65","0,66 %","2,28 %","17,69 %","22,06 %","0,76 %","2,95 %","1,84 %","19,81 %","1,34 %","2,01 %","15,49 %","98.667.054,63","98,82","0,97","0,80 %","-12,91 %","-12,21 %","-4,15 %",1,"20,69",1.417,N/A,N/A,N/A,2024-09-01
50,BNFS11,Agências de Bancos,"118,55","65.774,08","1,40","1,40","1,18 %","3,53 %","7,21 %","13,98 %","1,18 %","1,20 %","1,17 %","10,47 %","-0,03 %","1,15 %","10,53 %","59.211.135,16","84,59","1,40","1,62 %","-7,45 %","-5,95 %","0,15 %",18,"9,17",5.385,N/A,N/A,N/A,2024-09-01
51,BODB11,Indefinido,"9,00","1.404.869,67",N/A,"0,09","0,99 %","3,18 %","5,35 %","11,27 %","1,06 %","0,89 %","0,94 %","9,62 %","0,00 %","0,99 %","10,90 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"7,33",0,N/A,N/A,N/A,2024-09-01
52,BPFF11,Fundo de Fundos,"68,42","131.064,40","0,91","0,62","0,90 %","2,70 %","5,34 %","10,71 %","0,90 %","0,89 %","0,89 %","7,98 %","0,35 %","1,25 %","10,43 %","338.656.984,57","75,39","0,91","0,82 %","2,59 %","3,43 %","6,47 %",0,"12,20",21.107,N/A,N/A,N/A,2024-09-01
53,BPLC11,Misto,N/A,N/A,N/A,"14,42","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"328.800.450,04",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,114,N/A,N/A,N/A,2024-09-01
54,BPML11,Shoppings,"87,67","268.018,19","0,68","1,07","1,26 %","3,68 %","6,94 %","8,89 %","1,23 %","1,16 %","0,74 %","8,89 %","-4,85 %","-3,65 %","63,12 %","958.442.742,01","128,79","0,68","0,83 %","3,24 %","4,10 %","5,08 %",4,"18,78",6.333,N/A,N/A,N/A,2024-09-01
55,BPRP11,Imóveis Industriais e Logísticos,"108,99","1.056,89","0,87","0,93","0,86 %","1,73 %","4,51 %","4,51 %","0,58 %","0,75 %","0,38 %","4,51 %","0,33 %","1,19 %","5,12 %","169.457.795,11",N/A,N/A,N/A,N/A,N/A,N/A,1,"54,11",172,N/A,N/A,N/A,2024-09-01
56,BRCO11,Imóveis Industriais e Logísticos,"113,09","1.282.583,77","0,95","0,87","0,76 %","2,30 %","4,53 %","9,07 %","0,77 %","0,76 %","0,76 %","6,79 %","-0,84 %","-0,09 %","5,52 %","1.893.160.466,28","119,03","0,95","0,73 %","-2,02 %","-1,30 %","7,41 %",12,"13,33",124.021,N/A,N/A,N/A,2024-09-01
57,BRCR11,Lajes Corporativas,"50,05","722.969,77","0,56","0,50","0,99 %","2,94 %","5,47 %","9,73 %","0,98 %","0,91 %","0,81 %","6,87 %","2,41 %","3,42 %","-7,03 %","2.384.242.328,15","89,50","0,56","0,56 %","-10,55 %","-10,05 %","-11,36 %",6,"17,95",137.495,N/A,N/A,N/A,2024-09-01
58,BREV11,Lajes Corporativas,"105,00","532.138,00","0,89","0,58","0,55 %","0,00 %","0,00 %","0,55 %","0,00 %","0,00 %","0,55 %","10,03 %","0,32 %","0,87 %","22,08 %","113.864.559,59",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",13,"12,50",320,N/A,N/A,N/A,2024-09-01
59,BRFT11,Misto,"83,28","315.425,40",N/A,"1,06","1,25 %","2,61 %","2,61 %","2,61 %","2,61 %","2,61 %","2,61 %","2,61 %","3,42 %","4,71 %","4,71 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"51,78",0,N/A,N/A,N/A,2024-09-01
60,BRIM11,Fundo de Desenvolvimento,"1.214,40","3.880,43","1,43","35,00","3,00 %","8,46 %","8,46 %","14,91 %","2,82 %","1,41 %","1,24 %","14,91 %","18,93 %","22,50 %","22,82 %","104.384.469,42",N/A,N/A,N/A,N/A,N/A,N/A,1,"69,32",304,N/A,N/A,N/A,2024-09-01
61,BRIP11,Fundo de Desenvolvimento,"960,00","14.669,00","0,93","11,21","1,23 %","5,22 %","8,46 %","9,20 %","1,74 %","1,41 %","0,77 %","9,20 %","3,93 %","5,21 %","9,69 %","223.337.844,75",N/A,N/A,N/A,N/A,N/A,N/A,10,"62,90",287,N/A,N/A,N/A,2024-09-01
62,BRLA11,Imóveis Industriais e Logísticos,"164,50","43.911,11","0,97","1,14","0,00 %","0,73 %","2,25 %","2,25 %","0,73 %","0,38 %","0,19 %","2,25 %","0,00 %","0,00 %",N/A,"625.992.571,83","169,07","0,97","0,67 %","7,01 %","7,73 %","-0,74 %",8,"78,94",329,N/A,N/A,N/A,2024-09-01
63,BROF11,Lajes Corporativas,"47,39","83.659,38","0,44","0,42","0,89 %","2,75 %","5,59 %","11,14 %","0,92 %","0,93 %","0,93 %","7,56 %","-4,65 %","-3,80 %","-8,49 %","1.260.200.350,93",N/A,N/A,N/A,N/A,N/A,N/A,2,"21,50",10.336,N/A,N/A,N/A,2024-09-01
64,BRZP11,N/A,"104,91","1.111.371,99",N/A,"0,66","0,61 %","1,84 %","3,15 %","6,24 %","0,61 %","0,53 %","0,52 %","4,68 %","-0,39 %","0,22 %","26,10 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"14,67",0,N/A,N/A,N/A,2024-09-01
65,BTAG11,Indefinido,"91,65","660.997,21",N/A,"1,10","1,25 %","3,47 %","7,03 %","14,81 %","1,16 %","1,17 %","1,23 %","9,47 %","-7,23 %","-6,07 %","-1,24 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"19,87",0,N/A,N/A,N/A,2024-09-01
66,BTAL11,Imóveis Industriais e Logísticos,"77,66","256.463,18","0,69","0,84","1,06 %","3,31 %","6,38 %","11,62 %","1,10 %","1,06 %","0,97 %","8,18 %","2,11 %","3,19 %","19,50 %","674.760.175,69","112,78","0,69","0,74 %","7,35 %","8,15 %","17,24 %",9,"16,51",42.565,N/A,N/A,N/A,2024-09-01
67,BTCI11,Papéis,"10,00","1.016.057,06","0,99","0,09","0,96 %","2,87 %","5,63 %","11,69 %","0,96 %","0,94 %","0,97 %","7,52 %","0,82 %","1,79 %","13,07 %","1.001.701.719,51",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,56",179.240,N/A,N/A,N/A,2024-09-01
68,BTCR11,Papéis,"88,00","652.774,65","0,92","0,90","0,98 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,53 %","-5,96 %","-5,04 %","14,54 %","458.252.683,73","95,27","0,92","0,94 %","0,64 %","1,59 %","4,62 %",0,"32,78",16.934,N/A,N/A,N/A,2024-09-01
69,BTHI11,Hotéis,"41,50","30.416,13","0,66","0,32","0,78 %","2,42 %","4,30 %","9,45 %","0,81 %","0,72 %","0,79 %","6,59 %","4,91 %","5,73 %","-1,00 %","582.231.275,84",N/A,N/A,N/A,N/A,N/A,N/A,12,"34,02",1.039,N/A,N/A,N/A,2024-09-01
70,BTLG11,Imóveis Industriais e Logísticos,"102,05","4.906.099,29","0,98","0,76","0,75 %","2,29 %","4,52 %","9,16 %","0,76 %","0,75 %","0,76 %","6,09 %","0,75 %","1,51 %","9,46 %","4.520.857.988,15","104,53","0,98","0,73 %","5,83 %","6,60 %","12,10 %",22,"8,89",345.561,N/A,N/A,N/A,2024-09-01
71,BTML11,Lajes Corporativas,"104,68",N/A,"0,91","0,80","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"131.225.187,00",N/A,N/A,N/A,N/A,N/A,N/A,2,"21,84",1,N/A,N/A,N/A,2024-09-01
72,BTRA11,Indefinido,"45,20","77.726,35","0,41","0,30","0,63 %","1,90 %","3,58 %","9,82 %","0,63 %","0,60 %","0,82 %","7,94 %","-8,09 %","-7,51 %","-11,19 %","371.765.679,89","110,49","0,41","0,34 %","-20,34 %","-20,06 %","13,82 %",6,"29,18",15.694,N/A,N/A,N/A,2024-09-01
73,BTSG11,Imóveis Industriais e Logísticos,"159,05","3.138,83","1,09","0,95","0,00 %","0,59 %","1,21 %","2,54 %","0,59 %","0,20 %","0,21 %","1,87 %","0,00 %","0,00 %",N/A,"112.588.266,78","145,27","1,09","0,63 %","5,54 %","6,20 %","16,97 %",1,"70,84",109,N/A,N/A,N/A,2024-09-01
74,BTSI11,Misto,"113,10","498,33","1,05","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"387.739.852,88",N/A,N/A,N/A,N/A,N/A,N/A,4,"137,74",118,N/A,N/A,N/A,2024-09-01
75,BTWR11,Fundo de Desenvolvimento,"119,44","120,00","1,05","0,56","0,00 %","0,00 %","0,56 %","1,11 %","0,00 %","0,56 %","0,09 %","0,56 %","0,00 %","0,00 %",N/A,"92.053.544,16","113,75","1,05","0,59 %","1,55 %","2,15 %","10,37 %",1,"81,27",120,N/A,N/A,N/A,2024-09-01
76,BTYU11,Incorporações,"9,89","12.500.033,50","0,97","0,13","1,25 %","1,25 %","1,25 %","1,25 %","0,63 %","0,63 %","0,63 %","1,25 %","0,00 %","0,00 %",N/A,"203.359.910,03",N/A,N/A,N/A,N/A,N/A,N/A,0,"10,79",62,N/A,N/A,N/A,2024-09-01
77,BZEL11,Misto,N/A,N/A,N/A,"5,09","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"507.420.036,31",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,3,N/A,N/A,N/A,2024-09-01
78,CACR11,Papéis,"105,26","1.377.943,17","1,06","1,31","1,24 %","3,95 %","8,11 %","16,59 %","1,32 %","1,35 %","1,38 %","12,35 %","2,78 %","4,06 %","22,21 %","478.720.388,02","98,98","1,06","1,48 %","-4,39 %","-2,98 %","35,49 %",0,"9,48",24.226,N/A,N/A,N/A,2024-09-01
79,CARE11,Misto,"1,59","10.313,04","0,23","0,01","0,23 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,36 %","-2,63 %","-2,41 %","-7,39 %","250.644.689,33","1,60","0,99","0,10 %","-0,24 %","-0,14 %","3,56 %",1,"42,31",11.476,N/A,N/A,N/A,2024-09-01
80,CBOP11,Lajes Corporativas,"27,15","6.612,21","0,39","0,05","0,18 %","1,07 %","2,33 %","4,65 %","0,36 %","0,39 %","0,39 %","3,49 %","-0,43 %","-0,25 %","-6,55 %","101.763.378,94","71,92","0,38","0,26 %","-2,57 %","-2,32 %","-12,95 %",1,"21,16",2.766,N/A,N/A,N/A,2024-09-01
