Data,Ativo,Setor,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-04-28,SPTW11,Lajes Corporativas,"79,20",2539.0,"R$ 0,5500","0,6879%","2,0550%","4,2059%","8,6868%","0,6850%","0,7010%","0,7239%","2,0550%","3,1613%","3,8710%","3,2312%","R$ 133.267.020,4100","R$ 74,1196","1,0685","0,7420%","0,0419%","0,7843%","2,3223%",N/A,N/A,2
2018-04-28,SPTW11,Lajes Corporativas,"79,20",2539.0,"R$ 0,5500","0,6879%","2,0550%","4,2059%","8,6868%","0,6850%","0,7010%","0,7239%","2,0550%","3,1613%","3,8710%","3,2312%","R$ 133.267.020,4100","R$ 74,1196","1,0685","0,7420%","0,0419%","0,7843%","2,3223%",N/A,N/A,2
2018-04-28,XTED11,Lajes Corporativas,"19,70",6373.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-20,8222%","-20,8222%","-22,0974%","R$ 51.637.490,7200","R$ 28,8066","0,6839","0,0000%","-0,3917%","-0,3917%","-0,7406%","96,8000%","98,3000%",2
2018-04-28,TRXL11,Logística,"71,87",2087.0,"R$ 0,3376","0,4689%","1,3518%","2,6480%","5,4719%","0,4506%","0,4413%","0,4560%","1,7745%","-1,3699%","-0,9074%","-8,1397%","R$ 173.502.028,2500","R$ 105,1962","0,6832","0,3184%","-0,0759%","0,2422%","1,0709%","50,7000%","40,5000%",6
2018-04-28,XPCM11,Lajes Corporativas,"98,50",3793.0,"R$ 0,7800","0,7919%","2,3797%","4,7556%","10,0305%","0,7932%","0,7926%","0,8359%","2,3797%","0,5102%","1,3061%","2,3986%","R$ 193.634.389,5700","R$ 80,1942","1,2283","0,9726%","-0,3225%","0,6470%","2,7303%","0,0000%","0,0000%",1
2018-04-28,KNIP11,Títulos e Val. Mob.,"108,45",11581.0,"R$ 0,7500","0,6912%","2,1758%","4,1317%","7,4310%","0,7253%","0,6886%","0,6193%","2,1758%","-0,4587%","0,2294%","2,6837%","R$ 1.057.576.700,1300","R$ 104,5026","1,0378","0,7177%","1,1168%","1,8425%","3,3989%",N/A,N/A,0
2018-04-28,FAED11,Outros,"220,95",0.0,"R$ 1,4567","0,6560%","1,9709%","4,0301%","7,9499%","0,6570%","0,6717%","0,6625%","1,9709%","-0,1125%","0,5428%","0,6557%","R$ 103.280.368,2100","R$ 160,8308","1,3738","0,9057%","-0,0141%","0,8914%","2,7503%","0,0000%",N/A,3
2018-04-28,CNES11,Lajes Corporativas,"84,35",0.0,"R$ 0,2719","0,3005%","0,9164%","2,0038%","4,3073%","0,3055%","0,3340%","0,3589%","0,9164%","-0,5495%","-0,2506%","-9,1225%","R$ 306.583.344,7400","R$ 103,9531","0,8114","0,2616%","0,0065%","0,2681%","0,8452%","45,5000%",N/A,1
2018-04-28,FLRP11,Shoppings,"1.255,00",0.0,"R$ 7,8788","0,6333%","2,1535%","3,4685%","6,4365%","0,7178%","0,5781%","0,5364%","2,1535%","-0,4800%","0,1503%","8,6305%","R$ 72.840.548,5900","R$ 1.411,5291","0,8891","0,5582%","0,0241%","0,5825%","2,4822%","1,9400%",N/A,1
2018-04-28,FEXC11,Títulos e Val. Mob.,"110,69",0.0,"R$ 0,7500","0,6893%","2,3565%","4,3411%","6,6486%","0,7855%","0,7235%","0,5541%","2,3565%","2,6509%","3,3585%","7,1099%","R$ 147.036.236,1700","R$ 100,6215","1,1001","0,7454%","-0,6821%","0,0582%","2,1723%",N/A,N/A,0
2018-04-28,EDGA11,Lajes Corporativas,"45,01",0.0,"R$ 0,1004","0,2165%","0,6568%","1,4314%","2,9224%","0,2189%","0,2386%","0,2435%","0,6568%","-3,4174%","-3,2083%","-3,8040%","R$ 310.213.203,7100","R$ 81,3769","0,5531","0,1233%","0,1160%","0,2395%","-0,4681%","25,8000%",N/A,1
2018-04-28,NSLU11,Hospital,"266,75",0.0,"R$ 1,5684","0,5726%","1,7503%","3,7194%","7,6572%","0,5834%","0,6199%","0,6381%","1,1643%","3,5578%","4,1508%","4,7670%","R$ 236.157.157,2500","R$ 206,2868","1,2931",,,,,"0,0000%",N/A,1
2018-04-28,HTMX11,Hotel,"137,20",0.0,"R$ 0,4254","0,3037%","1,0839%","2,9204%","6,4260%","0,3613%","0,4867%","0,5355%","1,0839%","1,4855%","1,7937%","8,0711%","R$ 150.300.574,4000","R$ 134,3217","1,0214","0,3167%","0,0456%","0,3624%","1,0324%","42,0000%",N/A,24
2018-04-28,MAXR11,Outros,"2.001,01",0.0,"R$ 8,0658","0,3936%","3,1275%","4,4038%","8,2858%","1,0425%","0,7340%","0,6905%","0,7793%","2,3477%","2,7505%","3,1468%","R$ 109.453.626,8400","R$ 1.847,4745","1,0831",,,,,"0,0000%",N/A,8
2018-04-28,JRDM11,Shoppings,"79,99",0.0,"R$ 0,2847","0,3472%","1,6976%","2,9363%","6,2582%","0,5659%","0,4894%","0,5215%","0,7704%","0,6135%","0,9628%","1,3901%","R$ 188.414.960,5000","R$ 84,7548","0,9438",,,,,"0,9600%",N/A,1
2018-04-28,ALMI11,Lajes Corporativas,"1.810,00",0.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","-2,7722%","-2,7722%","4,0436%","R$ 212.334.783,6100","R$ 2.028,0304","0,8925","0,0000%","0,0673%","0,0673%","-0,0260%","18,0000%",N/A,1
