Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
IRIM11,Indefinido,"78,37","74.786,17","0,86","0,83","1,04 %","2,85 %","5,93 %","12,39 %","0,95 %","0,99 %","1,03 %","2,85 %","-2,44 %","-1,42 %","1,42 %","174.251.630,69","90,76","0,86","0,85 %","-6,74 %",2024-04-01
ISCJ11,Papéis,N/A,N/A,N/A,"1,21",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"43.688.957,47",N/A,N/A,N/A,N/A,2024-04-01
ITIP11,Papéis,"75,22","93.268,67","0,99","0,72","0,96 %","2,73 %","5,31 %","11,52 %","0,91 %","0,89 %","0,96 %","3,58 %","-1,46 %","-0,51 %","-0,37 %","56.855.125,41","75,99","0,99","0,84 %","-5,12 %",2024-04-01
ITIT11,Fundo de Fundos,"80,00","212.199,83","0,92","0,60","0,75 %","2,39 %","4,89 %","9,50 %","0,80 %","0,82 %","0,79 %","3,23 %","2,22 %","2,99 %","11,29 %","78.573.954,75","87,26","0,92","0,78 %","10,51 %",2024-04-01
JASC11,Imóveis Comerciais - Outros,"100,00","201.200,00","0,93","0,58","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"358.938.335,87",N/A,N/A,N/A,N/A,2024-04-01
JBFO11,Papéis,"82,01","83,50","0,98","0,51","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"106.887.508,85",N/A,N/A,N/A,N/A,2024-04-01
JCCJ11,Papéis,"130,00","675.711,63","0,70","0,45","0,35 %","0,79 %","1,03 %","1,03 %","0,26 %","0,17 %","0,17 %","0,79 %","4,42 %","4,78 %","9,10 %","310.188.414,29",N/A,N/A,N/A,N/A,2024-04-01
JFLL11,Imóveis Residenciais,"77,21","563.619,46","0,74","0,62","0,81 %","2,44 %","4,96 %","10,16 %","0,81 %","0,83 %","0,85 %","3,27 %","-1,03 %","-0,23 %","5,43 %","156.357.645,36","104,20","0,74","0,60 %","3,19 %",2024-04-01
JGPX11,Indefinido,"91,76","383.667,79","0,96","1,13","1,22 %","3,86 %","6,89 %","14,28 %","1,29 %","1,15 %","1,19 %","4,89 %","-0,01 %","1,21 %","0,29 %","203.800.984,82","95,18","0,96","1,31 %","-0,82 %",2024-04-01
JPPA11,Papéis,"88,85","169.007,08","0,90","1,00","1,10 %","3,24 %","6,57 %","14,25 %","1,08 %","1,10 %","1,19 %","4,34 %","-0,11 %","0,99 %","2,38 %","88.897.070,37","98,33","0,90","1,00 %","0,01 %",2024-04-01
JRDM11,Shoppings,"85,90","610.682,00","0,97","7,83",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"224.143.181,16","88,84","0,97","0,45 %","-1,16 %",2024-04-01
JSAF11,Fundo de Fundos,"102,25","1.503.911,38","1,02","1,00","0,97 %","2,91 %","5,85 %","11,91 %","0,97 %","0,98 %","0,99 %","3,90 %","0,52 %","1,49 %","4,35 %","343.290.184,08","100,06","1,02","1,00 %","6,51 %",2024-04-01
JSRE11,Misto,"73,22","2.082.368,79","0,67","0,48","0,65 %","1,87 %","3,77 %","7,42 %","0,62 %","0,63 %","0,62 %","2,48 %","-2,59 %","-1,95 %","2,41 %","2.278.572.027,10","109,72","0,67","0,42 %","-2,88 %",2024-04-01
JURO11,Indefinido,"108,30","3.526.801,54",N/A,"1,25","1,15 %","3,01 %","7,18 %","14,77 %","1,00 %","1,20 %","1,23 %","4,37 %","0,37 %","1,52 %","5,45 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
KCRE11,Indefinido,"98,70","497.406,71","0,97","1,00","1,01 %","2,82 %","5,45 %","11,51 %","0,94 %","0,91 %","0,96 %","3,65 %","-1,42 %","-0,42 %","8,26 %","365.875.969,05","101,63","0,97","0,89 %","3,79 %",2024-04-01
KDIF11,Indefinido,"139,90","5.411.850,04",N/A,"1,35","0,98 %","2,75 %","5,03 %","9,55 %","0,92 %","0,84 %","0,80 %","3,54 %","-0,65 %","0,33 %","6,05 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
KEVE11,Fundo de Desenvolvimento,"1.140,00","47.489,43","1,33","14,22",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"126.305.724,15","855,14","1,33","1,19 %","-8,27 %",2024-04-01
KFOF11,Fundo de Fundos,"100,18","865.829,13","1,03","0,80","0,80 %","2,38 %","5,11 %","10,38 %","0,79 %","0,85 %","0,87 %","3,43 %","-0,64 %","0,15 %","10,32 %","441.398.725,67","97,37","1,03","0,82 %","7,15 %",2024-04-01
KINP11,Fundo de Desenvolvimento,"9,82","38.394,20","2,66","2,90","0,00 %","4,91 %","14,60 %","31,63 %","1,64 %","2,43 %","2,64 %","19,95 %","0,00 %","0,00 %",N/A,"26.408.606,84",N/A,N/A,"0,00 %","-100,00 %",2024-04-01
KISU11,Fundo de Fundos,"8,42","850.815,25","0,94","0,08","0,89 %","2,66 %","5,39 %","10,54 %","0,89 %","0,90 %","0,88 %","3,58 %","0,24 %","1,13 %","5,76 %","397.319.718,74","8,99","0,94","0,83 %","3,10 %",2024-04-01
KIVO11,Papéis,"89,35","345.770,04","0,98","1,05","1,16 %","3,41 %","7,50 %","16,55 %","1,14 %","1,25 %","1,38 %","4,79 %","-0,88 %","0,27 %","6,70 %","110.772.256,20",N/A,N/A,N/A,N/A,2024-04-01
KNCA11,Indefinido,"102,40","4.539.409,08","0,99","1,14","1,11 %","3,20 %","6,18 %","12,96 %","1,07 %","1,03 %","1,08 %","4,19 %","-1,76 %","-0,66 %","2,42 %","2.237.201.195,01","103,57","0,99","1,11 %","1,35 %",2024-04-01
KNCR11,Papéis,"102,86","9.690.972,29","1,02","0,95","0,92 %","2,86 %","5,90 %","12,86 %","0,95 %","0,98 %","1,07 %","3,83 %","-1,15 %","-0,24 %","5,11 %","5.771.781.680,40","101,09","1,02","1,06 %","0,34 %",2024-04-01
KNHF11,Indefinido,"106,03","1.992.536,08","1,05","0,90","0,88 %","2,51 %","5,49 %","7,24 %","0,84 %","0,92 %","1,03 %","3,45 %","-0,70 %","0,17 %","3,66 %","1.941.082.036,23",N/A,N/A,N/A,N/A,2024-04-01
KNHY11,Papéis,"107,28","3.292.743,83","1,05","1,24","1,16 %","3,38 %","6,42 %","12,54 %","1,13 %","1,07 %","1,05 %","4,40 %","-0,14 %","1,02 %","9,92 %","1.893.517.551,12","102,40","1,05","1,17 %","4,76 %",2024-04-01
KNIP11,Papéis,"97,09","10.256.786,79","0,99","1,05","1,08 %","2,94 %","5,24 %","9,97 %","0,98 %","0,87 %","0,83 %","3,72 %","-0,20 %","0,87 %","10,00 %","7.844.363.080,68","97,96","0,99","0,88 %","4,37 %",2024-04-01
KNOX11,Indefinido,"106,84","1.639.001,21",N/A,"2,44","2,31 %","7,49 %","12,66 %","19,17 %","2,50 %","2,11 %","2,40 %","7,49 %","5,62 %","8,06 %","15,17 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
KNPR11,Indefinido,N/A,N/A,N/A,"4,65","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.391.741,94",N/A,N/A,N/A,N/A,2024-04-01
KNRE11,Fundo de Desenvolvimento,"0,43","6.320,25","0,57","0,07","12,52 %","82,61 %","138,46 %","178,41 %","27,54 %","23,08 %","14,87 %","12,52 %","-44,00 %","-36,99 %","-36,99 %","14.030.246,53","0,76","0,57","9,22 %","0,00 %",2024-04-01
KNRI11,Misto,"163,23","3.542.353,58","1,02","1,00","0,60 %","1,81 %","3,67 %","7,68 %","0,60 %","0,61 %","0,64 %","2,41 %","-0,62 %","-0,02 %","6,29 %","3.854.290.655,29","159,55","1,02","0,63 %","-0,18 %",2024-04-01
KNSC11,Papéis,"9,18","4.309.380,38","1,01","0,09","0,97 %","2,72 %","5,19 %","10,84 %","0,91 %","0,87 %","0,90 %","3,49 %","1,20 %","2,18 %","8,45 %","1.202.263.371,79","9,06","1,01","0,88 %","-89,72 %",2024-04-01
KNUQ11,Indefinido,"103,33","867.410,42","1,02","1,14","1,10 %","3,22 %","6,31 %","6,31 %","1,07 %","1,05 %","0,70 %","4,33 %","-0,77 %","0,33 %","6,00 %","744.743.770,67",N/A,N/A,N/A,N/A,2024-04-01
KORE11,Lajes Corporativas,"110,48","1.516.272,25","1,10","1,25","1,13 %","3,40 %","3,40 %","3,40 %","1,13 %","1,13 %","1,13 %","3,40 %","-0,27 %","0,86 %","2,56 %","970.898.337,36",N/A,N/A,N/A,N/A,2024-04-01
LASC11,Shoppings,"108,00","3.531.792,09","0,84","0,75","0,70 %","4,04 %","5,87 %","8,69 %","1,35 %","0,98 %","0,72 %","2,78 %","1,51 %","2,22 %","4,86 %","376.747.784,53","128,13","0,84","0,55 %","19,79 %",2024-04-01
LAVF11,Indefinido,N/A,N/A,N/A,"1,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"116.243,80",N/A,N/A,N/A,N/A,2024-04-01
LFTT11,Papéis,"28,75","17.149,32","1,62","2,03",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"131.081.503,66","17,70","1,62","11,45 %","-55,79 %",2024-04-01
LGCP11,Imóveis Industriais e Logísticos,"87,99","484.972,92","0,84","0,72","0,81 %","2,40 %","4,83 %","9,37 %","0,80 %","0,81 %","0,78 %","3,20 %","-1,10 %","-0,30 %","5,15 %","367.915.608,44","104,23","0,84","0,69 %","1,40 %",2024-04-01
LIFE11,Imóveis Comerciais - Outros,"10,00","257.085,88","0,98","0,12","1,19 %","3,58 %","7,31 %","15,23 %","1,19 %","1,22 %","1,27 %","4,81 %","0,60 %","1,80 %","6,81 %","236.318.508,72",N/A,N/A,N/A,N/A,2024-04-01
LLAO11,Misto,"77,37","551.253,00","1,06","1,39",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26.473.735,59",N/A,N/A,N/A,N/A,2024-04-01
LOFT11B,Fundo de Desenvolvimento,"29,90",N/A,"2,92","47,90","0,00 %","0,00 %","142,24 %","189,83 %","0,00 %","23,71 %","15,82 %","142,96 %","0,00 %","0,00 %",N/A,"20.069.647,33",N/A,N/A,N/A,N/A,2024-04-01
LPLP11,Indefinido,"500,00","500,00","1,26","7,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"144.781.405,25",N/A,N/A,N/A,N/A,2024-04-01
LSAG11,Misto,"88,48","275.787,71",N/A,"1,20","1,32 %","3,91 %","8,16 %","16,60 %","1,30 %","1,36 %","1,38 %","5,75 %","-9,46 %","-8,27 %","-5,55 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
LSPA11,Papéis,"108,50","3.808,14","0,97","4,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"45.396.962,17",N/A,N/A,N/A,N/A,2024-04-01
LUGG11,Fundo de Desenvolvimento,"78,21","43.238,63","0,63","0,56","0,72 %","1,98 %","3,76 %","8,23 %","0,66 %","0,63 %","0,69 %","2,58 %","-3,00 %","-2,30 %","-5,47 %","139.807.277,37","123,65","0,63","0,42 %","-3,23 %",2024-04-01
LVBI11,Imóveis Industriais e Logísticos,"118,20","4.257.858,50","1,01","0,90","0,76 %","2,40 %","4,69 %","8,83 %","0,80 %","0,78 %","0,74 %","3,16 %","0,24 %","1,00 %","7,37 %","1.664.813.857,78","116,88","1,01","0,90 %","1,19 %",2024-04-01
MALL11,Shoppings,"117,65","2.544.988,79","0,98","0,92","0,77 %","2,32 %","4,41 %","8,68 %","0,77 %","0,74 %","0,72 %","2,99 %","-0,23 %","0,54 %","4,89 %","1.557.794.255,13","170,72","0,69","0,54 %","42,37 %",2024-04-01
MANA11,Indefinido,"9,56","647.093,75","0,99","0,11","1,16 %","3,26 %","6,47 %","13,17 %","1,09 %","1,08 %","1,10 %","4,42 %","-0,73 %","0,42 %","2,44 %","207.031.991,25",N/A,N/A,N/A,N/A,2024-04-01
MATV11,Indefinido,"86,63","13.027,43","0,92","0,60","0,73 %","3,11 %","4,87 %","12,28 %","1,04 %","0,81 %","1,02 %","3,11 %","-1,41 %","-0,69 %","-1,08 %","39.926.993,67","91,09","0,95","0,66 %","-1,89 %",2024-04-01
MAXR11,Varejo,"82,34","121.709,46","0,64","0,75","0,91 %","2,82 %","5,86 %","11,94 %","0,94 %","0,98 %","1,00 %","3,81 %","2,26 %","3,19 %","14,04 %","145.915.010,31","129,63","0,64","0,60 %","5,32 %",2024-04-01
MBRF11,Lajes Corporativas,N/A,N/A,N/A,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,"1.136,01",N/A,"0,88 %","-0,17 %",2024-04-01
MCCI11,Papéis,"93,05","3.947.123,79","0,97","0,80","0,85 %","2,63 %","5,53 %","11,63 %","0,88 %","0,92 %","0,97 %","2,63 %","-0,33 %","0,52 %","5,26 %","1.628.444.605,75","96,02","0,97","0,83 %","3,81 %",2024-04-01
MCHF11,Papéis,"9,10","1.778.820,09","0,88","9,15",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"335.751.641,15","10,38","0,88","0,67 %","9,15 %",2024-04-01
MCHY11,Papéis,"10,05","3.040.940,00","1,01","0,11","0,98 %","2,93 %","6,42 %","13,77 %","0,98 %","1,07 %","1,15 %","2,93 %","-9,92 %","-9,04 %","3,60 %","472.033.898,00","9,94","1,01","1,11 %","-90,09 %",2024-04-01
MFAI11,Fundo de Fundos,"64,18","86.639,21","0,87","0,42","0,65 %","2,16 %","4,57 %","9,28 %","0,72 %","0,76 %","0,77 %","3,05 %","0,00 %","0,65 %","10,35 %","28.828.789,27","74,07","0,87","0,77 %","8,67 %",2024-04-01
MFII11,Fundo de Desenvolvimento,"104,99","535.906,83","0,95","1,21","1,16 %","3,45 %","6,92 %","13,86 %","1,15 %","1,15 %","1,16 %","4,59 %","-0,38 %","0,78 %","19,95 %","491.813.823,13","111,23","0,94","1,08 %","5,20 %",2024-04-01
MGCR11,Papéis,"9,40","259.145,59","0,96","0,33","0,00 %","1,18 %","4,72 %","11,50 %","0,39 %","0,79 %","0,96 %","8,00 %","0,00 %","0,00 %",N/A,"131.240.792,97","9,78","0,96","1,02 %","-89,08 %",2024-04-01
MGFF11,Fundo de Fundos,"69,99","2.558.695,75","0,95","4,26",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"665.588.549,57","73,54","0,95","0,71 %","2,57 %",2024-04-01
MGHT11,Hotéis,"44,25","92.606,50","0,51","0,51","1,16 %","3,44 %","6,66 %","13,63 %","1,15 %","1,11 %","1,14 %","3,44 %","-5,73 %","-4,64 %","-1,35 %","113.113.624,04","86,10","0,51","0,59 %","0,61 %",2024-04-01
MGLG11,Imóveis Industriais e Logísticos,"40,99","55.314,19","0,55","0,35","0,86 %","2,58 %","4,56 %","11,69 %","0,86 %","0,76 %","0,97 %","0,86 %","-3,60 %","-2,77 %","-2,77 %","116.088.485,68","61,55","0,67","0,57 %","57,54 %",2024-04-01
MGRI11,Indefinido,N/A,N/A,N/A,"0,92","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"23.597.408,79",N/A,N/A,N/A,N/A,2024-04-01
MINT11,Educacional,"96,00","9.840,50","0,70","3,36","3,27 %","4,57 %","4,57 %","4,57 %","4,57 %","4,57 %","4,57 %","4,57 %","2,63 %","5,99 %","5,99 %","71.212.267,16",N/A,N/A,N/A,N/A,2024-04-01
MMPD11,Indefinido,N/A,N/A,N/A,"1,07","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"59.774.583,28",N/A,N/A,N/A,N/A,2024-04-01
MORC11,Papéis,"89,87","1.741.368,33","0,92","3,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"186.458.139,85","97,73","0,92","0,34 %","0,11 %",2024-04-01
MORE11,Fundo de Fundos,"76,21","1.327.577,67","0,88","6,02",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"201.450.458,24","86,87","0,88","0,81 %","4,88 %",2024-04-01
MXRF11,Papéis,"10,44","10.840.410,46","1,06","0,10","0,95 %","2,85 %","5,94 %","12,41 %","0,95 %","0,99 %","1,03 %","3,89 %","1,74 %","2,71 %","2,10 %","3.299.205.805,46","9,80","1,07","1,02 %","-3,07 %",2024-04-01
NAVT11,Papéis,"93,51","170.866,92","0,99","1,00","1,06 %","4,06 %","8,70 %","15,36 %","1,35 %","1,45 %","1,28 %","4,06 %","0,01 %","1,07 %","16,43 %","58.117.866,09","94,92","0,99","1,05 %","5,96 %",2024-04-01
NCHB11,Papéis,"9,60","285.048,88","0,95","0,11","1,13 %","3,45 %","3,79 %","4,56 %","1,15 %","0,63 %","0,38 %","3,56 %","0,31 %","1,45 %","-87,84 %","154.565.132,31","10,11","0,95","0,99 %","-88,72 %",2024-04-01
NCRA11,Indefinido,"9,30","185.311,83","0,88","0,07","0,69 %","2,75 %","6,41 %","14,57 %","0,92 %","1,07 %","1,21 %","2,75 %","-3,18 %","-2,51 %","-1,81 %","46.875.753,90","10,51","0,88","1,14 %","0,00 %",2024-04-01
NCRI11,Papéis,"9,08","4.292,33","0,89","0,09","0,97 %","2,96 %","6,05 %","11,61 %","0,99 %","1,01 %","0,97 %","4,04 %","-4,54 %","-3,61 %","7,47 %","40.232.122,72",N/A,N/A,N/A,N/A,2024-04-01
NEWL11,Imóveis Industriais e Logísticos,"117,04","484.256,46","0,85","0,95","0,81 %","2,35 %","5,24 %","10,92 %","0,78 %","0,87 %","0,91 %","3,49 %","-4,41 %","-3,64 %","11,13 %","278.881.018,96","137,17","0,85","0,69 %","14,22 %",2024-04-01
NEWU11,Lajes Corporativas,"76,10","4.755,24","1,06","0,10","0,13 %","0,26 %","1,53 %","2,93 %","0,09 %","0,26 %","0,24 %","1,02 %","0,00 %","0,00 %",N/A,"53.229.388,62","71,74","1,06","0,14 %","3,06 %",2024-04-01
NSLU11,Hospitalar,"190,94","100.361,92","0,93","1,63","0,84 %","2,44 %","4,87 %","10,00 %","0,81 %","0,81 %","0,83 %","3,24 %","-0,15 %","0,68 %","2,99 %","264.236.966,77","204,31","0,93","0,76 %","2,71 %",2024-04-01
NVHO11,Hospitalar,"11,26","2.760,54","0,74","0,08","0,71 %","2,14 %","4,32 %","8,91 %","0,71 %","0,72 %","0,74 %","2,84 %","5,03 %","5,77 %","6,70 %","635.308.673,99","15,31","0,74","0,55 %","9,75 %",2024-04-01
NVIF11B,Fundo de Desenvolvimento,"227,50",N/A,"1,01","0,89","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"75.753.083,74","224,52","1,01","0,40 %","-28,14 %",2024-04-01
OCRE11,Papéis,"104,90","9.507,00","1,04","0,62","0,62 %","1,76 %","3,73 %","3,73 %","0,59 %","0,62 %","0,62 %","2,52 %","0,00 %","0,00 %",N/A,"33.531.062,89",N/A,N/A,N/A,N/A,2024-04-01
OGHY11,Indefinido,"8,72","22.847,10","0,92","9,40","0,00 %","1,89 %","5,25 %","10,40 %","0,63 %","0,88 %","1,04 %","0,99 %","0,00 %","0,00 %",N/A,"25.780.971,88",N/A,N/A,N/A,N/A,2024-04-01
OGIN11,Misto,"9,83","163.134,08",N/A,"0,13","1,38 %","5,08 %","8,77 %","14,81 %","1,69 %","1,46 %","1,48 %","5,08 %","3,17 %","4,59 %","9,45 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
OIAG11,Indefinido,"8,54","295.557,08","0,88","0,11","1,23 %","3,63 %","7,34 %","14,73 %","1,21 %","1,22 %","1,23 %","4,84 %","-0,12 %","1,11 %","-0,88 %","88.194.284,83","9,76","0,87","1,08 %","0,00 %",2024-04-01
ONEF11,Lajes Corporativas,"200,03","114.431,47","1,09","2,86",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"166.518.054,63","182,79","1,09","17,78 %","-9,26 %",2024-04-01
OPTM11,Misto,N/A,N/A,N/A,"27,82","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"8.283.926,82",N/A,N/A,N/A,N/A,2024-04-01
ORPD11,Fundo de Desenvolvimento,"93,00","402,75","0,64","1,38","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"42.086.063,63","124,68","0,75","1,11 %","0,95 %",2024-04-01
OUFF11,Fundo de Fundos,"65,97","207.152,58","0,89","0,62","0,92 %","2,80 %","5,86 %","12,11 %","0,93 %","0,98 %","1,01 %","2,80 %","0,37 %","1,30 %","0,10 %","133.891.385,15","73,80","0,89","0,81 %","-2,77 %",2024-04-01
OUJP11,Papéis,"96,73","743.952,25","0,98","0,91","0,94 %","2,80 %","5,78 %","12,86 %","0,93 %","0,96 %","1,07 %","3,71 %","2,34 %","3,30 %","2,42 %","322.369.478,16","99,12","0,98","0,92 %","-0,77 %",2024-04-01
OULG11,Imóveis Industriais e Logísticos,"28,58","133.739,67","0,46","0,30","0,93 %","3,00 %","6,06 %","12,36 %","1,00 %","1,01 %","1,03 %","0,93 %","1,96 %","2,90 %","2,90 %","153.661.589,03","61,46","0,47","0,49 %","-8,15 %",2024-04-01
OURE11,Misto,"74,63","321.414,83","0,81","0,90","1,23 %","3,45 %","6,63 %","13,57 %","1,15 %","1,11 %","1,13 %","3,45 %","-0,16 %","1,06 %","3,49 %","99.679.352,22","92,55","0,81","0,92 %","1,67 %",2024-04-01
PABY11,Fundo de Desenvolvimento,"14,99","366,10",N/A,"0,13",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"-16.623.707,19","251,42","0,06","0,00 %","1,74 %",2024-04-01
PATB11,Lajes Corporativas,N/A,N/A,N/A,"1,18","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"680.922.792,01",N/A,N/A,N/A,N/A,2024-04-01
PATC11,Fundo de Desenvolvimento,"37,14","194.029,58","0,91","0,05","0,13 %","5,38 %","14,03 %","20,14 %","1,79 %","2,34 %","1,68 %","5,38 %","-2,58 %","-2,45 %","-1,18 %","142.552.007,69","40,99","0,91","0,83 %","-46,34 %",2024-04-01
PATL11,Imóveis Industriais e Logísticos,"68,34","442.297,21","0,69","0,60","0,87 %","2,61 %","5,33 %","10,33 %","0,87 %","0,89 %","0,86 %","3,48 %","-1,10 %","-0,24 %","12,85 %","491.061.361,21","98,38","0,69","0,61 %","0,27 %",2024-04-01
PCAS11,Indefinido,N/A,N/A,N/A,"1.000,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"453.298.668,42",N/A,N/A,N/A,N/A,2024-04-01
PEMA11,Papéis,"38,97","874,25","0,55","0,30","0,75 %","3,23 %","7,50 %","17,26 %","1,08 %","1,25 %","1,44 %","4,13 %","-4,48 %","-3,76 %","-9,21 %","39.011.032,85",N/A,N/A,N/A,N/A,2024-04-01
PFIN11,Indefinido,"75,92","1.780.489,21",N/A,"2,10","3,01 %","6,09 %","10,58 %","24,67 %","2,03 %","1,76 %","2,24 %","7,52 %","-0,29 %","2,72 %","17,42 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
PICE11,Indefinido,"59,00","353.474,17",N/A,"0,30","0,51 %","1,51 %","4,13 %","9,13 %","0,50 %","0,69 %","0,76 %","2,37 %","-3,69 %","-3,20 %","-10,11 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
PLCA11,Indefinido,"80,40","68.625,17","0,85","0,95","1,17 %","3,43 %","7,14 %","14,70 %","1,14 %","1,19 %","1,23 %","4,64 %","-2,36 %","-1,22 %","2,09 %","52.735.009,51","94,67","0,85","1,02 %","0,00 %",2024-04-01
PLCR11,Papéis,"89,34","364.948,92","0,97","0,80","0,88 %","2,68 %","5,45 %","12,29 %","0,89 %","0,91 %","1,02 %","3,58 %","1,86 %","2,75 %","6,92 %","194.146.402,23","92,05","0,97","0,87 %","1,50 %",2024-04-01
PLOG11,Imóveis Industriais e Logísticos,"66,71","70.165,04","0,63","0,70","0,99 %","3,05 %","6,10 %","12,13 %","1,02 %","1,02 %","1,01 %","4,09 %","2,01 %","3,02 %","0,55 %","79.648.071,76","100,39","0,66","0,75 %","-0,02 %",2024-04-01
PLRI11,Papéis,"14,25","1.968,88","0,51","0,15","1,01 %","1,34 %","3,07 %","8,90 %","0,45 %","0,51 %","0,74 %","3,07 %","-12,84 %","-11,96 %","-17,60 %","26.870.223,47","28,16","0,51","0,20 %","-12,44 %",2024-04-01
PMFO11,Misto,"100,00","100,00","1,03","0,88","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"76.111.175,51",N/A,N/A,N/A,N/A,2024-04-01
PNCR11,Imóveis Residenciais,"82,95","165.900,00","1,00","3,54",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"41.659.431,38",N/A,N/A,N/A,N/A,2024-04-01
PNDL11,Fundo de Desenvolvimento,"1.099,00","186.924,80","1,04","3,00","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"136.126.923,85",N/A,N/A,N/A,N/A,2024-04-01
PNRC11,Indefinido,"102,32","1.534.800,00","1,00","1,18","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"41.961.245,59",N/A,N/A,N/A,N/A,2024-04-01
PORD11,Papéis,"9,27","512.152,13","0,10","0,93","1,00 %","3,09 %","6,46 %","13,40 %","1,03 %","1,08 %","1,12 %","4,20 %","0,36 %","1,36 %","9,53 %","361.841.454,67","97,05","0,10","1,02 %","-1,07 %",2024-04-01
PPEI11,Indefinido,"96,02","309.253,21",N/A,"4,00","4,40 %","13,84 %","19,67 %","19,67 %","4,61 %","4,92 %","4,92 %","9,02 %","4,99 %","9,61 %","19,61 %",N/A,N/A,N/A,N/A,N/A,2024-04-01
PQAG11,Imóveis Industriais e Logísticos,"58,49","775.200,91","1,02","0,46","0,78 %","2,32 %","4,64 %","9,44 %","0,77 %","0,77 %","0,79 %","3,08 %","-1,26 %","-0,49 %","4,47 %","799.428.235,40","57,14","1,02","0,79 %","-0,21 %",2024-04-01
PQDP11,Shoppings,"1.960,00","108.773,71","0,57","20,23","1,01 %","2,88 %","5,39 %","10,89 %","0,96 %","0,90 %","0,91 %","3,83 %","2,15 %","3,18 %","6,50 %","866.556.432,43","3.441,41","0,57","0,44 %","9,82 %",2024-04-01
