Data,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2022-06-01,FLCR11,Títulos e Val. Mob.,"R$ 99,80",471.0,"R$ 1,75","1,75%","4,72%","8,93%","15,24%","1,57%","1,49%","1,27%","7,21%","1,52%","3,30%","7,91%","R$ 65.942.593,31","R$ 104,08","0,96","1,68%","3,04%","4,78%","7,99%",N/A,N/A,0
2022-06-01,ERPA11,,"R$ 117,50",4581.0,"R$ 0,28","0,22%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,46%","-0,30%","-0,08%","0,16%","R$ 57.806.170,89","R$ 115,40","1,02","0,20%","0,24%","0,43%","0,43%",N/A,N/A,0
2022-06-01,RCRB11,Lajes Corporativas,"R$ 129,69",2985.0,"R$ 0,72","0,56%","1,48%","2,76%","6,45%","0,49%","0,46%","0,54%","2,76%","2,90%","3,48%","1,86%","R$ 719.897.351,60","R$ 195,06","0,66","0,31%","0,07%","0,38%","0,65%","28,40%",N/A,10
2022-06-01,BLCA11,Lajes Corporativas,"R$ 95,00",10.0,"R$ 0,51","0,51%","1,54%","2,05%","0,00%","0,51%","0,34%","0,00%","2,05%","-0,52%","-0,01%","2,58%","R$ 153.292.044,08","R$ 95,81","0,99","0,53%","-1,68%","-1,16%","-9,51%","0,00%",N/A,1
2022-06-01,CPFF11,Híbrido,"R$ 69,38",12271.0,"R$ 0,62","0,88%","2,57%","5,32%","10,45%","0,86%","0,89%","0,87%","4,45%","-1,14%","-0,27%","2,46%","R$ 421.166.070,61","R$ 77,28","0,90","0,78%","-0,84%","-0,07%","0,84%",N/A,N/A,0
2022-06-01,RVBI11,Títulos e Val. Mob.,"R$ 73,91",2416.0,"R$ 0,75","0,98%","2,89%","5,66%","10,88%","0,96%","0,94%","0,91%","4,76%","-0,84%","0,13%","-0,90%","R$ 126.004.830,90","R$ 87,50","0,84","0,86%","0,00%","0,86%","4,10%",N/A,N/A,0
2022-06-01,GAME11,Híbrido,"R$ 10,06",8294.0,"R$ 0,15","1,49%","4,13%","7,33%","0,00%","1,38%","1,22%","0,00%","6,29%","-0,69%","0,79%","-1,98%","R$ 203.773.668,14","R$ 9,89","1,02","1,52%","0,12%","1,64%","-98,91%",N/A,N/A,0
2022-06-01,IBCR11,Títulos e Val. Mob.,"R$ 92,65",301.0,"R$ 1,32","1,39%","4,14%","8,78%","0,00%","1,38%","1,46%","0,00%","7,23%","-3,06%","-1,71%","5,29%","R$ 78.895.736,60","R$ 98,26","0,94","1,24%","0,48%","1,72%","6,62%",N/A,N/A,0
2022-06-01,RBRY11,Títulos e Val. Mob.,"R$ 100,29",15293.0,"R$ 1,25","1,22%","3,64%","7,09%","12,58%","1,21%","1,18%","1,05%","5,82%","-2,05%","-0,86%","1,56%","R$ 401.515.245,72","R$ 102,43","0,98","1,22%","-0,88%","0,33%","2,29%",N/A,N/A,0
2022-06-01,RBRF11,Títulos e Val. Mob.,"R$ 69,50",20586.0,"R$ 0,60","0,83%","2,46%","4,94%","9,65%","0,82%","0,82%","0,80%","4,13%","1,24%","2,08%","4,29%","R$ 1.149.405.774,49","R$ 84,02","0,83","0,71%","-1,84%","-1,14%","-0,44%",N/A,N/A,0
2022-06-01,RBRR11,Títulos e Val. Mob.,"R$ 100,85",30306.0,"R$ 1,20","1,19%","3,52%","6,74%","12,07%","1,17%","1,12%","1,01%","5,66%","-2,56%","-1,40%","3,58%","R$ 1.046.711.585,04","R$ 96,56","1,04","1,24%","-2,21%","-0,99%","1,34%",N/A,N/A,0
2022-06-01,IRDM11,Títulos e Val. Mob.,"R$ 103,00",49958.0,"R$ 1,35","1,28%","3,53%","6,97%","12,95%","1,18%","1,16%","1,08%","5,65%","-0,28%","0,99%","1,64%","R$ 3.202.717.504,66","R$ 96,92","1,06","1,22%","-0,19%","1,03%","2,16%",N/A,N/A,0
2022-06-01,IBFF11,Títulos e Val. Mob.,"R$ 60,70",491.0,"R$ 0,50","0,80%","2,51%","5,05%","9,84%","0,84%","0,84%","0,82%","4,22%","6,39%","7,25%","9,72%","R$ 48.361.846,89","R$ 72,54","0,84","0,69%","-1,95%","-1,28%","-0,61%",N/A,N/A,0
2022-06-01,IRIM11,Híbrido,"R$ 101,99",4744.0,"R$ 1,45","1,40%","3,79%","8,04%","0,00%","1,26%","1,34%","0,00%","6,72%","-5,23%","-3,91%","0,30%","R$ 130.503.385,72","R$ 100,39","1,02","1,14%","-0,40%","0,73%","2,13%",N/A,N/A,0
2022-06-01,CVBI11,Títulos e Val. Mob.,"R$ 99,09",25629.0,"R$ 1,50","1,48%","4,04%","7,34%","13,51%","1,35%","1,22%","1,13%","6,24%","0,21%","1,69%","5,91%","R$ 1.052.112.121,61","R$ 100,05","0,99","1,50%","0,22%","1,72%","6,64%",N/A,N/A,0
2022-06-01,VGIP11,Outros,"R$ 99,03",35978.0,"R$ 1,75","1,75%","4,64%","8,70%","15,87%","1,55%","1,45%","1,32%","7,10%","0,81%","2,57%","6,59%","R$ 1.095.538.563,59","R$ 92,91","1,07","1,88%","-0,69%","1,18%","5,09%",N/A,N/A,0
