Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,Vacância Física,Vacância Financeira,Quant. Ativos,Data Inclusão
EDGA11,Lajes Corporativas,"19,80","25.462,67","0,32","0,07","0,34 %","1,04 %","3,10 %","6,96 %","0,35 %","0,52 %","0,58 %","3,72 %","-3,16 %","-2,83 %","9,04 %","233.462.987,56","66,14","0,30","0,23 %","-0,02 %",2023-09-01
EGAF11,Indefinido,"99,75","906.788,93","1,03","1,50","1,49 %","4,28 %","8,43 %","28,37 %","1,43 %","1,41 %","2,58 %","11,04 %","0,44 %","1,94 %","8,92 %","109.513.479,76","98,07","1,02","1,22 %","0,00 %",2023-09-01
EQIA11,Fiagro,N/A,N/A,N/A,"0,45",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-09-01
EQIR11,Indefinido,"9,63","229.810,63","0,97","0,11","1,21 %","3,68 %","7,38 %","24,16 %","1,23 %","1,23 %","2,01 %","8,62 %","2,13 %","3,37 %","1,89 %","49.815.807,79","9,80","0,98","1,12 %","-1,52 %",2023-09-01
ERCR11,Varejo,"76.000,00",N/A,"1,33","1.915,69",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"135.700.836,15","69.829,66","1,09","1,12 %","-0,10 %",2023-09-01
ERPA11,Lajes Corporativas,"119,00","77.919,09","0,87","0,73","0,00 %","1,24 %","1,24 %","2,34 %","0,41 %","0,21 %","0,20 %","1,24 %","0,00 %","0,00 %",N/A,"68.348.147,51","116,21","1,02","0,60 %","0,01 %",2023-09-01
EURO11,Imóveis Industriais e Logísticos,"249,49","42.583,15","0,77","1,88","0,76 %","2,30 %","4,67 %","9,49 %","0,77 %","0,78 %","0,79 %","6,23 %","0,42 %","1,18 %","13,80 %","124.864.282,06","312,91","0,80","0,61 %","0,01 %",2023-09-01
EVBI11,Misto,"97,49","220.615,44","0,99","0,75","0,77 %","2,44 %","4,81 %","9,49 %","0,81 %","0,80 %","0,79 %","6,42 %","1,46 %","2,24 %","10,22 %","211.079.442,48","100,21","0,97","0,75 %","-0,71 %",2023-09-01
EXES11,Indefinido,"88,00","2.992,00","0,95","1,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"44.225.425,80",N/A,N/A,N/A,N/A,2023-09-01
FAED11,Educacional,"164,20","156.540,30","0,75","1,48","0,84 %","2,75 %","6,11 %","12,34 %","0,92 %","1,02 %","1,03 %","7,25 %","6,21 %","7,10 %","29,15 %","139.756.822,13","216,18","0,76","0,71 %","0,00 %",2023-09-01
FAMB11B,Lajes Corporativas,"800,00","87.964,67","0,28","9,16","0,56 %","2,18 %","4,80 %","10,11 %","0,73 %","0,80 %","0,84 %","5,64 %","-47,80 %","-47,51 %","-53,68 %","309.002.614,25","3.593,26","0,22","0,25 %","0,53 %",2023-09-01
FATN11,Lajes Corporativas,"93,96","397.485,63","0,94","0,85","0,90 %","2,63 %","5,25 %","10,69 %","0,88 %","0,88 %","0,89 %","7,00 %","-3,23 %","-2,36 %","7,62 %","126.308.555,55","101,40","0,93","0,79 %","0,37 %",2023-09-01
FCFL11,Educacional,"116,50","174.806,74","1,00","0,78","0,66 %","2,09 %","4,41 %","8,47 %","0,70 %","0,74 %","0,71 %","5,12 %","3,51 %","4,19 %","9,39 %","403.741.891,82","104,80","1,11","0,73 %","0,00 %",2023-09-01
FEXC11,Papéis,"83,50","860.137,12","0,10","0,50","0,00 %","1,08 %","4,14 %","11,48 %","0,36 %","0,69 %","0,96 %","0,00 %","0,00 %","0,00 %",N/A,"1.001.470.167,13","90,75","0,92","0,99 %","-1,13 %",2023-09-01
FGAA11,Indefinido,"10,14","1.638.604,81","1,01","0,13","1,28 %","3,88 %","8,08 %","16,51 %","1,29 %","1,35 %","1,38 %","10,79 %","1,20 %","2,49 %","12,31 %","326.955.560,01","9,59","1,06","1,36 %","0,00 %",2023-09-01
FIGS11,Shoppings,"61,19","177.583,19","0,81","0,45","0,71 %","2,60 %","5,02 %","9,60 %","0,87 %","0,84 %","0,80 %","6,65 %","-1,05 %","-0,35 %","33,97 %","216.457.542,22","99,78","0,61","0,39 %","-0,01 %",2023-09-01
FIIB11,Imóveis Industriais e Logísticos,"512,00","175.415,56","1,11","3,75","0,72 %","2,09 %","4,20 %","8,88 %","0,70 %","0,70 %","0,74 %","5,65 %","3,08 %","3,82 %","17,76 %","316.273.815,11","455,67","1,12","0,83 %","-0,10 %",2023-09-01
FIIP11B,Imóveis Industriais e Logísticos,"173,91","87.479,78","0,86","1,44","0,81 %","2,49 %","5,25 %","10,57 %","0,83 %","0,88 %","0,88 %","7,11 %","0,09 %","0,90 %","30,03 %","188.411.207,67","186,18","0,93","0,73 %","-0,12 %",2023-09-01
FISC11,Lajes Corporativas,"165,00",N/A,"1,43","0,44","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"195.865.393,97","116,06","1,42","0,21 %","0,02 %",2023-09-01
FLCR11,Papéis,"96,95","78.868,11","0,98","0,90","0,94 %","3,68 %","7,52 %","13,43 %","1,23 %","1,25 %","1,12 %","8,67 %","-0,87 %","0,06 %","8,24 %","62.640.460,13","98,63","0,98","0,91 %","-0,68 %",2023-09-01
FLMA11,Lajes Corporativas,"140,80","77.871,26","0,88","0,82","0,58 %","1,95 %","4,12 %","8,34 %","0,65 %","0,69 %","0,70 %","5,37 %","2,83 %","3,42 %","16,59 %","220.651.347,80","157,29","0,90","0,59 %","0,07 %",2023-09-01
FLRP11,Shoppings,"1.965,00","10.943,82","1,08","13,50","0,68 %","1,36 %","3,71 %","8,45 %","0,45 %","0,62 %","0,70 %","5,33 %","0,06 %","0,74 %","18,32 %","119.040.327,27","1.730,91","1,14","0,55 %","0,14 %",2023-09-01
FMOF11,Lajes Corporativas,"54,01","59.425,17","0,45","0,15","0,00 %","0,53 %","2,38 %","5,09 %","0,18 %","0,40 %","0,42 %","0,00 %","0,00 %","0,00 %",N/A,"60.435.612,12","122,64","0,44","0,11 %","-0,19 %",2023-09-01
FPAB11,Lajes Corporativas,"203,01","12.121,92","0,54","0,90","0,44 %","4,01 %","6,67 %","12,63 %","1,34 %","1,11 %","1,05 %","9,00 %","8,24 %","8,72 %","61,57 %","280.814.619,03","410,44","0,49","0,40 %","0,00 %",2023-09-01
FRHY11,Indefinido,N/A,N/A,N/A,"1,03","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"9.021.142,22",N/A,N/A,N/A,N/A,2023-09-01
FVPQ11,Shoppings,"125,44","77.512,37","0,65","1,20","0,95 %","3,57 %","6,16 %","10,20 %","1,19 %","1,03 %","0,85 %","8,02 %","8,38 %","9,41 %","36,80 %","538.683.307,17","198,60","0,63","0,28 %","-0,03 %",2023-09-01
FZDA11,Indefinido,"120,01","41.082,19","1,17","2,26","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","0,00 %","0,00 %",N/A,"158.007.687,28","101,94","1,18","2,21 %","0,00 %",2023-09-01
GALG11,Imóveis Industriais e Logísticos,"9,13","1.322.874,74","1,00","0,08","0,92 %","2,69 %","5,60 %","10,88 %","0,90 %","0,93 %","0,91 %","7,44 %","-0,55 %","0,37 %","4,59 %","526.075.325,12","9,36","0,97","0,88 %","-7,87 %",2023-09-01
GAME11,Indefinido,"9,28","159.684,44","0,93","0,10","1,07 %","3,28 %","6,79 %","13,29 %","1,09 %","1,13 %","1,11 %","7,93 %","0,54 %","1,61 %","14,71 %","216.606.162,93","9,84","0,94","1,02 %","0,20 %",2023-09-01
GCFF11,Fundo de Fundos,"69,30","87.694,83","0,89","3,07","0,00 %","2,25 %","5,27 %","11,25 %","0,75 %","0,88 %","0,94 %","3,26 %","0,00 %","0,00 %",N/A,"27.939.468,78","82,69","0,84","0,87 %","-3,88 %",2023-09-01
GCOI11,N/A,N/A,N/A,N/A,"0,81","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,N/A,N/A,N/A,N/A,N/A,2023-09-01
GCRA11,Indefinido,"91,20","541.605,59","0,95","1,10","1,21 %","3,57 %","7,57 %","15,00 %","1,19 %","1,26 %","1,25 %","10,14 %","-0,50 %","0,70 %","3,45 %","171.608.604,07","98,01","0,93","1,31 %","0,01 %",2023-09-01
GCRI11,Papéis,"89,47","225.436,11","0,93","1,00","1,11 %","3,38 %","7,04 %","14,14 %","1,13 %","1,17 %","1,18 %","8,26 %","-3,86 %","-2,79 %","4,05 %","139.469.473,13","94,35","0,95","1,17 %","-2,34 %",2023-09-01
GESE11B,Educacional,"1.520,00",N/A,"0,86","14,71","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"91.597.974,62","1.767,92","0,86","0,79 %","0,00 %",2023-09-01
GGRC11,Imóveis Industriais e Logísticos,"116,92","1.185.421,04","1,03","0,95","0,80 %","2,44 %","5,23 %","10,47 %","0,81 %","0,87 %","0,87 %","7,05 %","-1,53 %","-0,74 %","10,24 %","925.167.589,35","124,59","0,94","0,82 %","-0,14 %",2023-09-01
GLOG11,Imóveis Industriais e Logísticos,"68,32","83.644,67","0,64","0,63","0,90 %","2,76 %","5,66 %","11,64 %","0,92 %","0,94 %","0,97 %","7,75 %","0,00 %","0,90 %","2,87 %","79.755.095,60",N/A,N/A,N/A,N/A,2023-09-01
GRWA11,Indefinido,"10,44","28.287,22","1,03","0,15","1,44 %","4,15 %","7,10 %","7,10 %","1,38 %","1,42 %","1,42 %","7,10 %","0,87 %","2,32 %","10,16 %","12.843.636,12","10,14","1,03","1,38 %","0,00 %",2023-09-01
GSFI11,Shoppings,"7,90","978.358,48","0,55","0,00","0,03 %","0,03 %","0,03 %","0,03 %","0,01 %","0,00 %","0,00 %","0,03 %","0,00 %","0,03 %","0,03 %","1.071.517.626,29","11,90","0,66","0,01 %","0,01 %",2023-09-01
GTLG11,Imóveis Industriais e Logísticos,"63,99","22.885,25","1,06","60,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"434.811.690,70","93,65","0,68","0,75 %","-0,13 %",2023-09-01
GTWR11,Lajes Corporativas,"85,44","983.418,33","0,90","0,79","0,91 %","2,83 %","5,87 %","11,70 %","0,94 %","0,98 %","0,98 %","7,99 %","3,57 %","4,51 %","18,48 %","1.140.706.652,02","98,05","0,87","0,75 %","0,03 %",2023-09-01
GURB11,Indefinido,"105,00","1.998.501,00","0,94","0,70","0,00 %","0,00 %","0,83 %","0,83 %","0,00 %","0,14 %","0,08 %","0,83 %","0,00 %","0,00 %",N/A,"126.189.048,78",N/A,N/A,N/A,N/A,2023-09-01
HAAA11,Lajes Corporativas,"59,59","8.326,12","0,74","0,29","0,49 %","1,63 %","2,99 %","6,12 %","0,54 %","0,50 %","0,51 %","4,25 %","-6,72 %","-6,26 %","-26,28 %","279.416.181,84","89,97","0,66","0,60 %","-0,40 %",2023-09-01
HABT11,Papéis,"93,72","1.202.617,52","0,94","1,00","1,02 %","3,50 %","7,86 %","14,85 %","1,17 %","1,31 %","1,24 %","10,53 %","2,15 %","3,19 %","20,89 %","806.636.236,32","99,80","0,94","0,92 %","0,14 %",2023-09-01
HBCR11,Indefinido,"116,00","1.273.192,00","1,13","0,68","0,00 %","0,57 %","1,54 %","2,78 %","0,19 %","0,26 %","0,23 %","1,54 %","0,00 %","0,00 %",N/A,"115.283.619,73",N/A,N/A,N/A,N/A,2023-09-01
HBRH11,Lajes Corporativas,"93,95","758.941,11","0,84","0,52","0,55 %","1,73 %","3,67 %","7,78 %","0,58 %","0,61 %","0,65 %","5,05 %","-1,31 %","-0,77 %","14,43 %","310.626.828,68","113,29","0,83","0,53 %","0,10 %",2023-09-01
HCHG11,Papéis,"79,30","88.784,81","0,82","0,52","0,63 %","3,21 %","6,77 %","13,79 %","1,07 %","1,13 %","1,15 %","9,15 %","0,05 %","0,68 %","5,98 %","116.507.246,83","100,07","0,79","1,00 %","-0,38 %",2023-09-01
HCRA11,Indefinido,"102,90","532,56",N/A,"1,28","1,24 %","2,48 %","4,91 %","7,45 %","0,83 %","0,82 %","0,62 %","4,91 %","-1,06 %","0,17 %","1,65 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
HCRI11,Hospitalar,"299,64","37.196,48","0,97","2,59","0,87 %","2,95 %","6,32 %","14,24 %","0,98 %","1,05 %","1,19 %","7,41 %","14,04 %","15,03 %","41,62 %","61.655.370,00","299,94","1,00","0,81 %","-0,00 %",2023-09-01
HCTR11,Papéis,"46,00","2.964.922,89","0,41","0,50","1,06 %","2,66 %","5,45 %","11,79 %","0,89 %","0,91 %","0,98 %","6,47 %","-21,39 %","-20,56 %","-50,44 %","2.469.351.365,39","121,43","0,38","0,91 %","-0,11 %",2023-09-01
HDEL11,Imóveis Industriais e Logísticos,"106,09","7.956,50","1,25","1,87","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"42.749.917,75",N/A,N/A,N/A,N/A,2023-09-01
HFOF11,Fundo de Fundos,"79,79","2.157.893,74","0,95","0,63","0,77 %","2,35 %","5,14 %","10,37 %","0,78 %","0,86 %","0,86 %","7,05 %","1,98 %","2,76 %","26,20 %","1.926.871.672,10","82,16","0,97","0,75 %","-4,45 %",2023-09-01
HGAG11,Indefinido,"25,00","26.975,07","1,47","0,22","0,88 %","2,80 %","6,66 %","13,19 %","0,93 %","1,11 %","1,10 %","9,97 %","-4,04 %","-3,19 %","1,84 %","5.731.825,70","23,09","1,08","1,99 %","0,00 %",2023-09-01
HGBS11,Shoppings,"231,00","3.382.275,41","1,02","2,00","0,86 %","2,22 %","4,42 %","8,70 %","0,74 %","0,74 %","0,73 %","5,95 %","2,60 %","3,48 %","29,14 %","2.264.344.680,70","216,98","1,06","0,65 %","-0,63 %",2023-09-01
HGCR11,Papéis,"106,99","3.724.205,56","1,03","1,10","1,02 %","3,21 %","6,70 %","13,70 %","1,07 %","1,12 %","1,14 %","9,05 %","2,26 %","3,30 %","15,56 %","1.598.887.163,80","101,20","1,06","1,19 %","-1,20 %",2023-09-01
HGFF11,Fundo de Fundos,"88,86","906.892,33","0,94","0,70","0,77 %","2,25 %","4,88 %","10,07 %","0,75 %","0,81 %","0,84 %","6,70 %","2,61 %","3,40 %","35,16 %","269.584.670,63","87,45","1,02","0,74 %","-5,38 %",2023-09-01
HGIC11,Papéis,"110,62","24.763,26","0,88","1,02","0,97 %","3,13 %","5,10 %","10,82 %","1,04 %","0,85 %","0,90 %","6,57 %","-0,92 %","0,04 %","-2,78 %","57.875.912,12","114,02","0,97","0,96 %","-2,08 %",2023-09-01
HGLG11,Imóveis Industriais e Logísticos,"161,27","11.418.034,04","1,05","1,10","0,68 %","2,25 %","4,31 %","8,99 %","0,75 %","0,72 %","0,75 %","5,67 %","-0,63 %","0,04 %","4,35 %","5.176.423.292,15","147,80","1,09","0,74 %","0,37 %",2023-09-01
HGPO11,Lajes Corporativas,"279,18","555.239,85","0,93","1,60","0,57 %","1,70 %","3,61 %","7,34 %","0,57 %","0,60 %","0,61 %","4,88 %","-2,40 %","-1,84 %","12,73 %","524.362.205,21","267,63","1,04","0,60 %","-0,05 %",2023-09-01
HGRE11,Lajes Corporativas,"138,50","2.488.215,81","0,89","0,78","0,57 %","2,11 %","4,02 %","8,01 %","0,70 %","0,67 %","0,67 %","5,40 %","-3,86 %","-3,31 %","17,44 %","1.835.305.009,11","161,29","0,86","0,48 %","-0,12 %",2023-09-01
HGRU11,Misto,"136,00","5.099.379,96","1,10","0,85","0,64 %","2,34 %","4,45 %","9,48 %","0,78 %","0,74 %","0,79 %","5,88 %","0,02 %","0,66 %","15,01 %","2.276.329.312,59","120,00","1,13","0,68 %","-0,37 %",2023-09-01
HILG11,Indefinido,N/A,N/A,N/A,"1,13","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"94.355.040,81",N/A,N/A,N/A,N/A,2023-09-01
HLOG11,Imóveis Industriais e Logísticos,"92,40","60.960,22","0,80","0,65","0,69 %","2,05 %","4,36 %","8,65 %","0,68 %","0,73 %","0,72 %","5,88 %","-2,50 %","-1,83 %","9,58 %","490.815.421,64","111,05","0,83","0,59 %","-0,07 %",2023-09-01
HOFC11,Lajes Corporativas,"23,33","67.910,19","0,26","0,11","0,47 %","3,46 %","5,89 %","8,50 %","1,15 %","0,98 %","0,71 %","6,78 %","-0,67 %","-0,21 %","-10,44 %","337.189.582,50",N/A,N/A,N/A,N/A,2023-09-01
HOSI11,Imóveis Residenciais,"67,59","23.610,27","0,73","0,46","0,66 %","4,56 %","6,60 %","12,61 %","1,52 %","1,10 %","1,05 %","7,96 %","0,03 %","0,69 %","30,51 %","52.891.698,49","93,20","0,73","0,46 %","0,26 %",2023-09-01
HPDP11,Shoppings,"84,26","19.287,74","0,94","0,53","0,65 %","2,64 %","4,64 %","7,55 %","0,88 %","0,77 %","0,63 %","5,22 %","-1,78 %","-1,15 %","25,06 %","260.246.309,56","95,00","0,89","0,53 %","0,14 %",2023-09-01
HRDF11,Fundo de Desenvolvimento,"4,50","1.004,22","0,73","5,40",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"9.298.063,48",N/A,N/A,N/A,N/A,2023-09-01
HREC11,Papéis,"84,28","242.492,33","0,90","0,85","1,00 %","3,07 %","6,49 %","12,96 %","1,02 %","1,08 %","1,08 %","8,80 %","0,89 %","1,90 %","13,50 %","482.876.556,27","89,66","0,94","1,06 %","-1,80 %",2023-09-01
HSAF11,Papéis,"85,19","393.496,37","0,91","0,75","0,87 %","3,03 %","6,91 %","13,28 %","1,01 %","1,15 %","1,11 %","9,19 %","-3,53 %","-2,69 %","19,15 %","236.702.698,81","91,55","0,93","0,66 %","-0,67 %",2023-09-01
HSLG11,Imóveis Industriais e Logísticos,"94,92","991.664,00","0,91","0,73","0,77 %","2,30 %","4,96 %","9,73 %","0,77 %","0,83 %","0,81 %","6,72 %","-1,88 %","-1,12 %","13,30 %","1.320.614.382,99","105,22","0,90","0,67 %","-0,05 %",2023-09-01
HSML11,Shoppings,"95,29","3.007.847,19","1,00","0,74","0,77 %","2,34 %","4,98 %","9,96 %","0,78 %","0,83 %","0,83 %","6,80 %","2,12 %","2,90 %","26,17 %","1.503.214.578,48","97,37","0,98","0,70 %","-0,19 %",2023-09-01
HSRE11,Misto,"102,67","1.610.078,47","1,10","0,60","0,58 %","1,16 %","2,39 %","5,46 %","0,39 %","0,40 %","0,46 %","3,61 %","-0,01 %","0,57 %","2,96 %","830.382.224,69","96,20","1,07","0,65 %","-0,04 %",2023-09-01
HTMX11,Hotéis,"138,60","682.455,19","1,01","2,02","1,46 %","4,33 %","8,27 %","13,37 %","1,44 %","1,38 %","1,11 %","9,51 %","3,00 %","4,51 %","35,84 %","206.160.754,38","131,52","1,05","0,97 %","-0,42 %",2023-09-01
HUCG11,Hospitalar,"101,99","3.149,38","0,99","0,20","0,22 %","0,94 %","1,50 %","5,29 %","0,31 %","0,25 %","0,44 %","2,34 %","0,00 %","0,00 %",N/A,"115.061.656,48",N/A,N/A,N/A,N/A,2023-09-01
HUSC11,Hospitalar,"119,90","5.055,92","0,83","0,92","0,81 %","2,50 %","5,07 %","8,39 %","0,83 %","0,85 %","0,70 %","5,90 %","7,55 %","8,42 %","19,75 %","119.148.478,11","146,16","0,82","0,60 %","2,35 %",2023-09-01
HUSI11,Hospitalar,"1.136,79","3.410,00","1,02","8,26","0,00 %","0,00 %","0,68 %","3,37 %","0,00 %","0,11 %","0,28 %","1,33 %","0,00 %","0,00 %",N/A,"129.367.556,42","991,67","1,15","0,88 %","-0,83 %",2023-09-01
IAAG11,Indefinido,"9,90","124.180,11","1,03","0,08","0,81 %","1,31 %","1,31 %","1,31 %","1,31 %","1,31 %","1,31 %","1,31 %","-1,69 %","-0,89 %","-0,89 %","52.456.629,44","9,63","1,03","0,52 %","0,00 %",2023-09-01
IBCR11,Papéis,"76,89","303.913,93","0,79","0,99","1,27 %","3,52 %","7,14 %","13,65 %","1,17 %","1,19 %","1,14 %","8,31 %","-3,01 %","-1,77 %","-0,08 %","92.854.574,52","95,51","0,81","0,84 %","-0,91 %",2023-09-01
IBFF11,Fundo de Fundos,"66,40","162.549,50","4,49","14,79","0,00 %","0,44 %","2,85 %","8,02 %","0,15 %","0,48 %","0,67 %","5,41 %","0,00 %","0,00 %",N/A,"9.855.905,16","72,54","0,92","0,69 %","-1,95 %",2023-09-01
IDFI11,Indefinido,"28,80","57.537,19","0,78","0,19","0,52 %","9,38 %","18,91 %","42,86 %","3,13 %","3,15 %","3,57 %","56,55 %","-1,31 %","-0,79 %","14,76 %","75.681.695,16","59,67","0,48","0,48 %","-1,60 %",2023-09-01
IFRA11,Fundo de Desenvolvimento,"104,74","1.284.652,41",N/A,"1,08","1,03 %","3,07 %","6,06 %","11,84 %","1,02 %","1,01 %","0,99 %","7,72 %","0,56 %","1,60 %","12,52 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
IRDM11,Papéis,"83,97","5.068.753,56","0,94","0,81","0,93 %","2,89 %","6,15 %","11,74 %","0,96 %","1,03 %","0,98 %","7,19 %","-2,76 %","-1,86 %","1,18 %","3.262.073.283,21","93,04","0,90","0,75 %","-1,77 %",2023-09-01
IRIM11,Indefinido,"93,12","88.602,67","0,98","0,86","0,90 %","3,23 %","6,61 %","12,31 %","1,08 %","1,10 %","1,03 %","7,71 %","0,19 %","1,09 %","8,52 %","182.511.074,50","97,23","0,96","0,74 %","-1,35 %",2023-09-01
ITIP11,Papéis,"78,25","102.579,00","1,01","0,72","0,92 %","3,06 %","6,43 %","12,44 %","1,02 %","1,07 %","1,04 %","8,68 %","1,42 %","2,35 %","6,99 %","58.226.271,75","80,92","0,97","0,91 %","-2,90 %",2023-09-01
ITIT11,Fundo de Fundos,"79,95","184.067,56","0,92","0,57","0,71 %","2,33 %","4,65 %","9,17 %","0,78 %","0,78 %","0,76 %","6,29 %","2,89 %","3,62 %","6,47 %","78.674.097,77","79,66","1,00","0,72 %","-5,82 %",2023-09-01
JASC11,Imóveis Comerciais - Outros,"100,00","5.382.933,33","0,97","0,52","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"279.182.856,28",N/A,N/A,N/A,N/A,2023-09-01
JBFO11,Papéis,"87,00","87,00","0,98","0,45","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"113.272.773,06",N/A,N/A,N/A,N/A,2023-09-01
JFLL11,Imóveis Residenciais,"74,00","123.589,33","0,73","0,62","0,82 %","2,52 %","5,44 %","11,20 %","0,84 %","0,91 %","0,93 %","7,52 %","1,67 %","2,51 %","23,63 %","151.483.911,60","100,49","0,74","0,62 %","0,03 %",2023-09-01
JGPX11,Indefinido,"102,75","439.484,70","1,00","1,41","1,37 %","3,98 %","8,02 %","15,43 %","1,33 %","1,34 %","1,29 %","10,55 %","2,62 %","4,03 %","17,42 %","81.784.381,54","96,43","1,07","1,21 %","0,48 %",2023-09-01
JPPA11,Papéis,"99,97","229.963,11","1,01","1,15","1,11 %","3,72 %","7,96 %","16,14 %","1,24 %","1,33 %","1,35 %","10,66 %","3,56 %","4,71 %","9,22 %","89.773.410,62","99,04","1,01","1,41 %","-0,73 %",2023-09-01
JRDM11,Shoppings,"85,90","610.682,00","0,97","7,83",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"224.143.181,16","87,34","0,98","0,79 %","-0,06 %",2023-09-01
JSAF11,Fundo de Fundos,"98,33","1.223.690,22","0,98","0,93","0,95 %","2,91 %","6,22 %","12,77 %","0,97 %","1,04 %","1,06 %","8,54 %","0,82 %","1,78 %","26,58 %","157.665.900,22","94,13","1,04","0,99 %","-4,06 %",2023-09-01
JSRE11,Misto,"76,20","3.145.783,52","0,68","0,46","0,59 %","1,74 %","3,79 %","7,71 %","0,58 %","0,63 %","0,64 %","5,23 %","-3,36 %","-2,79 %","11,66 %","2.343.584.658,59","113,42","0,67","0,43 %","0,00 %",2023-09-01
JURO11,Fundo de Desenvolvimento,"107,79","1.784.229,04",N/A,"1,75","1,61 %","4,22 %","6,44 %","13,52 %","1,41 %","1,07 %","1,13 %","6,91 %","2,11 %","3,75 %","10,25 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
KCRE11,Indefinido,"98,37","475.946,15","0,94","0,80","0,81 %","2,84 %","6,98 %","11,11 %","0,95 %","1,16 %","0,93 %","9,11 %","0,42 %","1,23 %","22,30 %","377.087.831,31","98,96","0,99","0,52 %","-1,96 %",2023-09-01
KDIF11,Fundo de Desenvolvimento,"135,47","2.933.310,37",N/A,"1,00","0,73 %","2,25 %","4,91 %","10,90 %","0,75 %","0,82 %","0,91 %","6,97 %","3,37 %","4,12 %","15,54 %",N/A,N/A,N/A,N/A,N/A,2023-09-01
KEVE11,Fundo de Desenvolvimento,"1.084,86","172.998,62","1,18","19,57","0,00 %","3,38 %","3,38 %","4,66 %","1,13 %","0,56 %","0,39 %","3,38 %","0,00 %","0,00 %",N/A,"136.061.479,50","967,75","1,12","0,28 %","-1,49 %",2023-09-01
KFOF11,Fundo de Fundos,"96,60","1.846.373,67","0,98","0,75","0,78 %","2,63 %","5,38 %","10,61 %","0,88 %","0,90 %","0,88 %","7,24 %","-0,97 %","-0,20 %","32,31 %","448.300.299,85","92,06","1,05","0,78 %","-6,43 %",2023-09-01
KINP11,Fundo de Desenvolvimento,"9,82","38.394,20","2,66","2,90","0,00 %","4,91 %","14,60 %","31,63 %","1,64 %","2,43 %","2,64 %","12,53 %","0,00 %","0,00 %",N/A,"26.408.606,84","4,80","2,05","5,01 %","-6,28 %",2023-09-01
KISU11,Fundo de Fundos,"8,71","754.356,93","0,94","0,07","0,80 %","2,53 %","5,19 %","10,87 %","0,84 %","0,87 %","0,91 %","7,06 %","-1,14 %","-0,34 %","15,36 %","408.493.347,60","8,79","0,99","0,85 %","-5,26 %",2023-09-01
KIVO11,Papéis,"92,13","208.840,93","0,98","1,15","1,23 %","4,10 %","9,40 %","17,50 %","1,37 %","1,57 %","1,46 %","12,19 %","-1,33 %","-0,12 %","8,19 %","114.628.473,72",N/A,N/A,N/A,N/A,2023-09-01
KNCA11,Indefinido,"105,71","2.877.841,63","1,05","1,20","1,13 %","3,37 %","7,07 %","14,50 %","1,12 %","1,18 %","1,21 %","9,26 %","-0,66 %","0,46 %","8,83 %","1.441.823.009,54","102,26","1,03","1,11 %","0,07 %",2023-09-01
KNCR11,Papéis,"99,10","11.637.014,07","0,98","1,20","1,20 %","3,54 %","7,12 %","13,91 %","1,18 %","1,19 %","1,16 %","9,34 %","0,72 %","1,93 %","10,78 %","5.758.807.700,20","100,66","0,98","1,09 %","-0,02 %",2023-09-01
KNHF11,Indefinido,"104,80","988.016,31","1,02","1,00","0,96 %","0,96 %","0,96 %","0,96 %","0,96 %","0,96 %","0,96 %","0,96 %","0,00 %","0,00 %",N/A,"1.032.565.601,21",N/A,N/A,N/A,N/A,2023-09-01
