,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
251,KNIP11,0.0,0.0,0,Papéis,"95,28","5.202.861,87","0,99","0,76","0,79 %","2,63 %","5,69 %","10,63 %","0,88 %","0,95 %","0,89 %","8,41 %","2,10 %","2,91 %","16,14 %","7.676.421.637,95","95,86","0,99","0,89 %","2,13 %","3,04 %","12,48 %",0,"7,61",78.618,2024-09-01
252,KNOX11,0.0,0.0,0,Indefinido,"103,00","454.943,00",,"2,50","2,34 %","0,00 %","2,34 %","7,34 %","0,00 %","0,39 %","0,73 %","2,34 %","1,29 %","3,66 %","3,66 %",,,,,,,,0,"17,86",0,2024-09-01
253,KNPR11,0.0,0.0,0,Indefinido,,,,"5,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"54.982.060,43",,,,,,,0,,593,2024-09-01
254,KNRE11,0.0,0.0,0,Fundo de Desenvolvimento,"0,42","4.975,79","0,59","0,07","12,52 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,52 %","-44,00 %","-36,99 %","-36,99 %","14.706.345,21","0,76","0,55","9,22 %","0,00 %","9,22 %","0,46 %",1,"58,92",6.399,2024-09-01
255,KNRI11,0.0,0.0,20,Misto,"152,42","2.647.610,88","0,94","1,00","0,65 %","1,94 %","3,81 %","7,56 %","0,65 %","0,64 %","0,63 %","5,66 %","0,20 %","0,85 %","3,47 %","4.562.380.440,64","161,76","0,94","0,62 %","1,20 %","1,83 %","10,33 %",19,"10,97",275.746,2024-09-01
256,KNSC11,0.0,0.0,0,Papéis,"9,22","1.316.539,73","1,02","0,09","0,98 %","2,98 %","5,90 %","11,10 %","0,99 %","0,98 %","0,93 %","8,50 %","0,88 %","1,87 %","16,45 %","1.195.245.491,47","9,00","1,02","1,00 %","-89,79 %","-89,69 %","-88,60 %",0,"10,96",157.913,2024-09-01
257,KNUQ11,0.0,0.0,0,Indefinido,"105,59","805.814,38","1,05","1,03","0,98 %","2,82 %","6,14 %","11,50 %","0,94 %","1,02 %","0,96 %","9,46 %","2,32 %","3,32 %","16,17 %","1.546.237.050,52",,,,,,,0,"8,81",18.885,2024-09-01
258,KOPA11,0.0,0.0,0,Indefinido,"1.040,00","131.528,79","1,05","12,56","1,25 %","3,57 %","3,57 %","3,57 %","1,79 %","1,79 %","1,79 %","3,57 %","0,63 %","1,89 %","7,56 %","353.724.129,48","997,31","1,04","1,10 %","0,00 %","0,00 %","0,00 %",0,"27,57",3.891,2024-09-01
259,KORE11,0.0,0.0,4,Lajes Corporativas,"103,70","900.793,49","0,97","1,25","1,20 %","3,66 %","7,21 %","10,22 %","1,22 %","1,20 %","1,28 %","10,22 %","2,46 %","3,69 %","9,99 %","1.020.655.189,54",,,,,,,4,"12,46",19.539,2024-09-01
260,LASC11,0.0,0.0,2,Shoppings,"112,00","1.142.478,70","0,89","0,74","0,66 %","1,14 %","2,95 %","8,70 %","0,38 %","0,49 %","0,73 %","7,67 %","0,00 %","0,00 %",,"369.532.953,01","125,68","0,89","0,44 %","17,50 %","18,02 %","18,52 %",2,"12,16",422,2024-09-01
261,LAVF11,0.0,0.0,0,Indefinido,,,,"1,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"116.243,80",,,,,,,0,,7,2024-09-01
262,LFTT11,0.0,0.0,70,Papéis,"14,05","27.312,58","0,53","4,04","19,70 %","51,41 %","75,78 %","123,59 %","17,14 %","12,63 %","10,30 %","85,54 %","-6,82 %","11,54 %","25,76 %","86.501.934,00","26,49","0,53","17,42 %","-33,84 %","-22,31 %","-72,62 %",128,"67,69",501,2024-09-01
263,LGCP11,0.0,0.0,5,Imóveis Industriais e Logísticos,"84,50","69.490,04","0,83","0,74","0,88 %","2,59 %","5,16 %","10,05 %","0,86 %","0,86 %","0,84 %","7,61 %","-0,02 %","0,86 %","6,90 %","398.343.084,09","102,68","0,82","0,70 %","-0,11 %","0,59 %","8,83 %",6,"9,84",16.669,2024-09-01
264,LIFE11,0.0,0.0,0,Imóveis Comerciais - Outros,"10,34","161.436,15","1,03","0,14","1,30 %","4,45 %","8,19 %","15,87 %","1,48 %","1,37 %","1,32 %","11,99 %","2,16 %","3,49 %","24,88 %","234.639.322,27",,,,,,,0,"13,52",10.794,2024-09-01
265,LLAO11,0.0,0.0,2,Misto,"65,97","551.253,00","0,93","8,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"25.679.396,81",,,,,,,15,"703,66",77,2024-09-01
266,LOFT11B,0.0,0.0,0,Fundo de Desenvolvimento,"29,90",,"4,11","47,90","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","142,96 %","0,00 %","0,00 %",,"14.292.988,00",,,,,,,10,,1,2024-09-01
267,LPLP11,0.0,0.0,0,Indefinido,"468,39","500,00","1,23","0,43","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"189.887.913,69",,,,,,,0,"21,09",8,2024-09-01
268,LSAG11,0.0,0.0,0,Misto,"80,65","176.007,84",,"1,10","1,40 %","4,18 %","8,25 %","16,86 %","1,39 %","1,38 %","1,41 %","12,86 %","-4,18 %","-2,84 %","-8,55 %",,,,,,,,0,"26,16",0,2024-09-01
269,LSPA11,0.0,0.0,0,Papéis,"50,82","31.453,13","1,01","19,95","31,83 %","67,11 %","86,39 %","86,39 %","22,37 %","14,40 %","7,20 %","86,39 %","-12,94 %","14,77 %","13,27 %","21.090.892,98",,,,,,,0,"61,16",535,2024-09-01
270,LUGG11,0.0,0.0,5,Fundo de Desenvolvimento,"73,56","36.705,13","0,63","0,60","0,82 %","2,49 %","4,73 %","8,55 %","0,83 %","0,79 %","0,71 %","6,64 %","0,58 %","1,40 %","-5,21 %","132.860.265,83","117,50","0,63","0,50 %","-8,05 %","-7,58 %","-0,43 %",5,"10,43",5.983,2024-09-01
271,LVBI11,18.05,3.8499999999999996,10,Imóveis Industriais e Logísticos,"109,80","2.280.180,53","0,88","0,90","0,81 %","2,43 %","4,79 %","9,50 %","0,81 %","0,80 %","0,79 %","7,25 %","-2,45 %","-1,66 %","7,34 %","2.010.052.925,26","124,69","0,88","0,72 %","7,96 %","8,74 %","14,32 %",8,"13,06",130.206,2024-09-01
272,MALL11,81.70714285714284,4.428571428571429,14,Shoppings,"107,50","1.177.050,22","0,90","0,78","0,71 %","2,18 %","4,56 %","9,03 %","0,73 %","0,76 %","0,75 %","6,84 %","0,28 %","0,99 %","3,26 %","1.550.039.754,17","119,48","0,90","0,67 %","-0,36 %","0,31 %","16,69 %",10,"9,96",137.876,2024-09-01
273,MANA11,0.0,0.0,0,Indefinido,"9,14","1.780.235,93","0,97","0,10","1,09 %","3,17 %","6,71 %","13,24 %","1,06 %","1,12 %","1,10 %","10,08 %","-4,38 %","-3,33 %","8,30 %","356.681.220,99",,,,,,,0,"14,93",8.890,2024-09-01
274,MATV11,0.0,0.0,0,Indefinido,"86,63","13.027,43","0,92","0,60","0,73 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,11 %","-1,41 %","-0,69 %","-1,08 %","39.926.993,67","91,09","0,95","0,66 %","-1,89 %","-1,24 %","-0,18 %",0,"0,37",325,2024-09-01
275,MAXR11,59.65555555555555,4.411111111111111,9,Varejo,"78,90","33.556,22","0,61","0,72","0,91 %","2,72 %","5,56 %","11,67 %","0,91 %","0,93 %","0,97 %","7,57 %","-0,50 %","0,40 %","16,94 %","145.557.707,60","129,31","0,61","0,54 %","5,06 %","5,63 %","13,44 %",8,"19,19",4.348,2024-09-01
276,MBRF11,75.85,4.15,2,Lajes Corporativas,,,,"0,50","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,,"1.136,01",,"0,88 %","-0,17 %","0,71 %","10,03 %",0,,0,2024-09-01
