,Título,media_taxa_homicidios,avaliacao_media_ativos_fundo,Quantidade_Imoveis,Setor,Valor,Liquidez Média Diária,PVP,Dividendo,Yeld,Soma Yield 3M,Soma Yield 6M,Soma Yield 12M,Média Yield 3M,Média Yield 6M,Média Yield 12M,Soma Yield Ano Corrente,Variação Cotação Mês,Rentabilidade Mês,Rentabilidade,Patrimônio,VPA,P/VPA,VPA Yield,VPA Change,VPA Rent M,VPA Rent,Ativos,Volatility,Número Cotista,dt_inclusao
450,VISC11,73.46666666666667,4.406666666666666,30,Shoppings,"111,20","3.184.552,79","0,88","0,83","0,74 %","2,25 %","4,77 %","9,81 %","0,75 %","0,80 %","0,82 %","7,29 %","0,62 %","1,36 %","3,45 %","3.662.540.079,24","127,05","0,88","0,67 %","2,60 %","3,29 %","18,68 %",29,"11,39",352.359,2024-09-01
451,VIUR11,31.557142857142857,3.5857142857142854,7,Misto,"6,45","94.680,61","0,73","0,07","1,04 %","3,11 %","6,04 %","11,59 %","1,04 %","1,01 %","0,97 %","8,81 %","-0,92 %","0,11 %","-9,41 %","238.215.497,65","8,84","0,73","0,76 %","-3,91 %","-3,18 %","-89,91 %",8,"15,55",50.336,2024-09-01
452,VJFD11,0.0,0.0,0,Papéis,"137,07",,"0,88","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"759.281.246,41","155,71","0,88","0,47 %","14,43 %","14,97 %","21,60 %",39,,97,2024-09-01
453,VLIQ11,0.0,0.0,0,Indefinido,,,,"5,04","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,,,,,,,,0,,1,2024-09-01
454,VLOL11,36.1,4.6,1,Lajes Corporativas,"98,00","160.238,13","0,88","16,30","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","1,99 %","0,00 %","0,00 %",,"198.219.080,15","111,06","0,88","0,55 %","-0,14 %","0,40 %","14,11 %",1,"9,89",3.127,2024-09-01
455,VOTS11,0.0,0.0,0,Papéis,"79,99","5.509,58","0,79","0,46","0,56 %","2,62 %","5,87 %","11,56 %","0,87 %","0,98 %","0,96 %","9,30 %","-1,54 %","-0,99 %","11,99 %","76.604.666,60","92,53","0,86","0,92 %","-0,81 %","0,10 %","9,09 %",0,"23,64",716,2024-09-01
456,VRTA11,0.0,0.0,0,Papéis,"88,20","1.124.154,68","0,97","0,80","0,90 %","2,96 %","6,10 %","11,34 %","0,99 %","1,02 %","0,95 %","8,90 %","0,52 %","1,43 %","12,46 %","1.423.667.770,78","91,31","0,97","0,99 %","0,15 %","1,14 %","10,30 %",0,"9,10",121.649,2024-09-01
457,VRTM11,0.0,0.0,0,Misto,"8,45","394.128,86","0,90","0,09","1,03 %","2,81 %","5,60 %","8,37 %","0,94 %","0,93 %","0,93 %","8,06 %","-19,50 %","-18,67 %","-3,99 %","368.554.204,55",,,,,,,0,"53,02",481,2024-09-01
458,VSEC11,0.0,0.0,0,Papéis,"0,21","2,50","0,07","2,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","138,00 %","0,00 %","0,00 %",,"182.284,39",,,,,,,0,"904,16",64,2024-09-01
459,VSHO11,62.6,4.233333333333333,3,Shoppings,"73,68","52.275,21","0,71","0,71","0,96 %","2,54 %","4,85 %","10,44 %","0,85 %","0,81 %","0,87 %","7,48 %","4,06 %","5,05 %","1,08 %","217.903.422,83","103,82","0,71","0,53 %","4,48 %","5,03 %","9,89 %",3,"12,60",3.672,2024-09-01
460,VSLH11,0.0,0.0,0,Papéis,"3,61","160.987,50","0,34","0,04","1,19 %","3,62 %","7,03 %","13,07 %","1,21 %","1,17 %","1,09 %","9,05 %","5,33 %","6,58 %","-7,40 %","315.386.871,36","10,56","0,34","0,38 %","1,64 %","2,02 %","21,47 %",0,"31,06",80.311,2024-09-01
461,VTLT11,64.5,4.5,1,Imóveis Industriais e Logísticos,"94,74","88.803,50","0,84","0,93","0,99 %","3,00 %","5,96 %","11,68 %","1,00 %","0,99 %","0,97 %","8,87 %","0,16 %","1,15 %","10,57 %","238.673.380,50","112,85","0,84","0,82 %","12,03 %","12,96 %","21,33 %",1,"11,05",6.202,2024-09-01
462,VTPL11,36.1,0.0,1,Papéis,"72,10","1.273,17","1,00","5,11","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"99.843.684,85",,,,,,,2,,124,2024-09-01
463,VVCO11,52.0,3.375,4,Lajes Corporativas,"12,93","32.565,13","0,92","11,16","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"140.826.471,41",,,,,,,4,"12,73",3.247,2024-09-01
464,VVCR11,0.0,0.0,0,Papéis,"9,95","243.430,33","0,93","0,08","0,81 %","2,56 %","5,01 %","12,23 %","0,85 %","0,84 %","1,02 %","8,64 %","0,82 %","1,63 %","16,25 %","80.025.355,96",,,,,,,0,"30,41",2.578,2024-09-01
465,VVMR11,67.9,3.54,5,Lajes Corporativas,"89,99","273.971,71","0,80","0,05","0,06 %","5,39 %","5,97 %","9,18 %","1,80 %","1,00 %","0,77 %","7,80 %","0,29 %","0,35 %","-0,83 %","312.629.697,20",,,,,,,5,"74,83",818,2024-09-01
466,VVPR11,36.1,4.216666666666667,6,Misto,"101,50","1.249.061,55","1,04","0,89","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,45 %","0,40 %","1,30 %","14,44 %","226.032.234,18","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",6,"3,43",1.372,2024-09-01
467,VVRI11,75.85,4.15,2,Indefinido,"100,45","83.233,64","0,99","0,75","0,00 %","2,33 %","4,29 %","12,46 %","0,78 %","0,72 %","1,04 %","7,06 %","0,00 %","0,00 %",,"81.054.823,82",,,,,,,2,"38,45",190,2024-09-01
468,VXXV11,78.0,3.9,2,Fundo de Desenvolvimento,"673,00","421.298,00","1,02","273,35","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"177.472.065,02",,,,,,,2,"72,37",21,2024-09-01
469,WPLZ11,36.1,4.3,1,Shoppings,"60,50","4.649,71","0,68","0,36","0,60 %","1,85 %","3,85 %","7,85 %","0,62 %","0,64 %","0,65 %","5,81 %","-3,69 %","-3,12 %","7,59 %","94.348.373,45","88,63","0,68","0,46 %","0,95 %","1,41 %","-8,88 %",1,"35,84",1.814,2024-09-01
470,WSEC11,0.0,0.0,0,Indefinido,"8,74","32.925,75","0,09","0,75","8,53 %","33,39 %","63,86 %","137,91 %","11,13 %","10,64 %","11,49 %","97,12 %","1,15 %","9,78 %","166,53 %","24.904.111,38",,,,,,,0,"8,43",504,2024-09-01
471,WTSP11B,36.1,4.7,1,Misto,"36,00","3.852,00","0,45","0,39","0,00 %","0,00 %","0,00 %","0,55 %","0,00 %","0,00 %","0,55 %","0,00 %","0,00 %","0,00 %",,"79.315.053,82","79,91","0,45","0,51 %","10,25 %","10,81 %","7,70 %",2,"11,59",210,2024-09-01
472,XPCA11,0.0,0.0,0,Indefinido,"8,69","811.822,15","0,92","0,10","1,13 %","3,67 %","7,25 %","14,47 %","1,22 %","1,21 %","1,21 %","10,88 %","11,36 %","12,62 %","9,56 %","431.616.109,23","9,48","0,92","0,95 %","-0,11 %","0,83 %","13,41 %",0,"11,91",104.695,2024-09-01
473,XPCI11,0.0,0.0,0,Papéis,"87,04","1.078.523,18","0,96","0,80","0,92 %","3,13 %","6,20 %","12,37 %","1,04 %","1,03 %","1,03 %","9,18 %","2,62 %","3,56 %","14,57 %","786.616.938,24","90,40","0,96","1,11 %","-1,56 %","-0,47 %","8,33 %",0,"11,80",79.595,2024-09-01
474,XPCM11,115.6,4.4,1,Lajes Corporativas,"7,63","11.067,93","0,26","0,02","0,20 %","0,00 %","0,00 %","2,13 %","0,00 %","0,00 %","0,18 %","0,20 %","-1,54 %","-1,34 %","-1,34 %","69.947.257,53","29,04","0,26","0,07 %","-34,13 %","-34,09 %","-44,99 %",1,"21,75",20.714,2024-09-01
475,XPHT11,59.18571428571429,4.3428571428571425,14,Hotéis,"123,00","230.869,59","0,66","0,32","0,78 %","2,42 %","4,30 %","9,45 %","0,81 %","0,72 %","0,79 %","6,59 %","4,91 %","5,73 %","-1,00 %","582.231.275,84","63,16","1,95","0,49 %","-32,97 %","-32,64 %","-26,77 %",12,"29,85",1.039,2024-09-01
476,XPID11,0.0,0.0,0,Indefinido,"69,07","223.956,73",,"0,70","1,02 %","3,12 %","6,63 %","11,94 %","1,04 %","1,11 %","1,00 %","10,51 %","0,16 %","1,18 %","-9,02 %",,,,,,,,0,"16,28",0,2024-09-01
477,XPIE11,0.0,0.0,0,Indefinido,"75,61","913.060,84",,"1,00","1,32 %","2,63 %","6,49 %","10,82 %","0,88 %","1,08 %","0,90 %","14,54 %","-0,94 %","0,36 %","14,13 %",,,,,,,,0,"10,87",0,2024-09-01
478,XPIN11,31.548780487804876,3.8048780487804876,41,Imóveis Industriais e Logísticos,"78,55","203.695,63","0,75","0,62","0,80 %","2,47 %","4,87 %","9,52 %","0,82 %","0,81 %","0,79 %","6,37 %","1,67 %","2,49 %","4,46 %","752.444.096,95","105,23","0,75","0,59 %","1,29 %","1,89 %","3,37 %",96,"14,14",48.147,2024-09-01
479,XPLG11,33.22666666666667,4.133333333333334,16,Imóveis Industriais e Logísticos,"102,29","1.842.916,98","0,90","0,78","0,76 %","2,32 %","4,56 %","8,90 %","0,77 %","0,76 %","0,74 %","6,73 %","0,11 %","0,87 %","4,26 %","3.344.207.851,20","112,93","0,91","0,69 %","-0,87 %","-0,18 %","11,43 %",17,"10,80",349.550,2024-09-01
480,XPML11,60.09166666666667,4.4624999999999995,24,Shoppings,"112,09","7.501.623,39","0,94","0,92","0,82 %","2,50 %","4,88 %","9,61 %","0,83 %","0,81 %","0,80 %","6,47 %","0,42 %","1,24 %","9,13 %","6.621.513.685,84","110,83","1,01","0,83 %","9,80 %","10,71 %","18,64 %",20,"11,50",527.538,2024-09-01
481,XPPR11,36.1,4.433333333333334,3,Lajes Corporativas,"18,15","169.975,33","0,28","0,07","0,38 %","1,14 %","2,16 %","4,75 %","0,38 %","0,36 %","0,40 %","3,22 %","-4,76 %","-4,40 %","4,29 %","465.905.746,48","63,68","0,29","0,11 %","-14,37 %","-14,28 %","-17,52 %",2,"27,95",48.096,2024-09-01
482,XPSF11,0.0,0.0,0,Fundo de Fundos,"7,50","182.868,42","0,90","0,07","0,94 %","2,78 %","5,59 %","11,20 %","0,93 %","0,93 %","0,93 %","8,33 %","-0,27 %","0,67 %","5,82 %","360.707.403,33","8,33","0,90","0,84 %","-0,24 %","0,60 %","-89,48 %",0,"11,99",62.648,2024-09-01
483,XTED11,115.6,0.0,1,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",,,,,,,,,,,,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,2024-09-01
484,YUFI11,25.555882352941175,2.317647058823529,40,Fundo de Desenvolvimento,"89,15","89,00","0,85","0,39","0,00 %","0,00 %","0,33 %","0,33 %","0,00 %","0,33 %","0,33 %","1,10 %","0,00 %","0,00 %",,"51.826.438,67",,,,,,,40,"266,58",58,2024-09-01
485,YUFI11B,0.0,0.0,0,Indefinido,,,,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"0,00 %","0,00 %","0,00 %",,"105,53",,"0,60 %","-0,01 %","0,59 %","6,32 %",0,,0,2024-09-01
486,ZAGH11,0.0,0.0,0,Serviços Financeiros Diversos,"11,98","454,96","1,23","0,05","0,42 %","1,35 %","1,83 %","1,83 %","0,45 %","0,46 %","0,46 %","1,83 %","1,36 %","1,78 %","1,78 %","45.386.278,22",,,,,,,0,"27,84",240,2024-09-01
487,ZAVC11,0.0,0.0,0,Indefinido,"10,08","89,93","1,01","0,12","1,19 %","3,47 %","4,40 %","4,40 %","1,16 %","1,47 %","1,47 %","4,40 %","4,24 %","5,48 %","7,45 %","30.928.405,06",,,,,,,0,"21,86",122,2024-09-01
488,ZAVI11,27.075000000000003,3.1875,9,Indefinido,"108,05","181.335,63","0,88","1,15","0,96 %","3,03 %","6,01 %","11,93 %","1,01 %","1,00 %","0,99 %","9,09 %","20,03 %","21,18 %","6,39 %","154.997.735,34",,,,,,,10,"35,37",4.300,2024-09-01
489,ZIFI11,0.0,0.0,0,Fundo de Desenvolvimento,"607,99","17.134,20","0,34","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",,"84.460.083,15",,,,,,,0,"81,28",100,2024-09-01
