Data,Ativo,Preço,Volume (21d),Dividendo,Dividend Yield,Dividend Yield 3M (acumulado),Dividend Yield 6M (acumulado),Dividend Yield 12M (acumulado),Dividend Yield 3M (média),Dividend Yield 6M (média),Dividend Yield 12M (média),Dividend Yield no Ano,Variação Preço,Rentabilidade no Período,Rentabilidade Acumulada,Patrimônio Líquido,Valor Patrimonial,P/VPA,Dividend Yield Patrimonial,Variação Patrimonial,Rentabilidade Patrimonial no Período,Rentabilidade Patrimonial Acumulada,Vacância Física,Vacância Financeira,Qtd Ativos
2018-02-01,CBOP11,"754,99",158.0,"R$ 4,7000","0,6065%","1,8656%","3,7575%","7,8481%","0,6219%","0,6262%","0,6540%","0,6065%","0,0000%","0,6065%","0,6065%","R$ 101.259.931,9000","R$ 715,6179","1,0550","0,6568%","-2,4227%","-1,7818%","5,5352%","7,0000%",N/A,1
2018-02-01,ATSA11B,"1.200,00",17.0,"R$ 1,0000","0,0833%","0,2932%","0,6747%","2,0972%","0,0977%","0,1124%","0,1748%","0,0833%","0,0000%","0,0833%","0,0833%","R$ 214.661.629,3500","R$ 1.251,5254","0,9588","0,0759%","0,1308%","0,2068%","-4,7338%","24,3000%",N/A,1
2018-02-01,HGBS11,"2.375,00",412.0,"R$ 12,0000","0,4880%","1,4255%","2,9133%","6,4105%","0,4752%","0,4855%","0,5342%","0,4880%","0,0000%","0,4880%","0,4880%","R$ 1.230.709.170,3800","R$ 2.289,7256","1,0372","0,5022%","6,2165%","6,7499%","14,7560%","6,4500%",N/A,8
2018-02-01,GRLV11,"1.258,00",171.0,"R$ 7,1000","0,5844%","1,8241%","3,7470%","8,0675%","0,6080%","0,6245%","0,6723%","0,5844%","0,0000%","0,5844%","0,5844%","R$ 126.595.174,9900","R$ 1.179,2421","1,0668","0,6021%","6,3985%","7,0391%","15,2101%","7,0000%",N/A,1
2018-02-01,HGJH11,"1.500,00",171.0,"R$ 7,5000","0,4941%","1,5435%","3,2026%","6,7680%","0,5145%","0,5338%","0,5640%","0,4941%","0,0000%","0,4941%","0,4941%","R$ 193.086.062,1800","R$ 1.170,2186","1,2818","0,6409%","13,0619%","13,7865%","23,1328%","6,1000%",N/A,2
2018-02-01,HGLG11,"1.286,04",523.0,"R$ 8,7000","0,6621%","1,9675%","4,0081%","8,2022%","0,6558%","0,6680%","0,6835%","0,6621%","0,0000%","0,6621%","0,6621%","R$ 383.384.693,8500","R$ 1.127,2705","1,1408","0,7718%","0,8891%","1,6677%","11,9893%","22,1800%","19,5000%",8
2018-02-01,HGRE11,"1.420,51",951.0,"R$ 8,0000","0,5334%","1,8070%","3,6328%","7,7183%","0,6023%","0,6055%","0,6432%","0,5334%","0,0000%","0,5334%","0,5334%","R$ 1.102.560.387,6700","R$ 1.493,3570","0,9512","0,6295%","0,7981%","1,4326%","8,8693%","18,1000%","18,6000%",20
2018-02-01,HGCR11,"102,00",1366.0,"R$ 0,7500","0,7353%","2,1518%","4,1894%","9,2699%","0,7173%","0,6982%","0,7725%","0,7353%","0,0000%","0,7353%","0,7353%","R$ 105.645.344,7300","R$ 100,8942","1,0110","0,7235%","-0,1976%","0,5245%","-89,1242%",N/A,N/A,0
2018-02-01,DOMC11,"680,00",26.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","12,5455%","12,5455%","22,0648%","R$ 153.397.209,2400","R$ 876,5555","0,7758","0,0000%","1,6130%","1,6130%","-5,9435%",N/A,N/A,1
2018-02-01,FIXX11,"95,00",388.0,"R$ 0,5000","0,5319%","1,8336%","4,0221%","7,9531%","0,6112%","0,6704%","0,6628%","0,5319%","0,0000%","0,5319%","0,5319%","R$ 33.122.392,0100","R$ 90,5053","1,0497","0,6961%","0,0017%","0,6978%","16,5588%",N/A,N/A,0
2018-02-01,VRTA11,"108,05",3718.0,"R$ 0,7000","0,6322%","1,9239%","3,9126%","8,8510%","0,6413%","0,6521%","0,7376%","0,6322%","0,0000%","0,6322%","0,6322%","R$ 233.119.958,7300","R$ 103,9879","1,0391","0,6732%","0,0266%","0,6999%","12,3249%",N/A,N/A,0
2018-02-01,BRCR11,"105,67",57034.0,"R$ 0,4494","0,4239%","1,3108%","2,4523%","6,5184%","0,4369%","0,4087%","0,5432%","5,4950%","1,9231%","2,3552%","16,4280%","R$ 2.392.427.274,4200","R$ 124,4465","0,8491",,,,,"33,1000%","29,1000%",10
2018-02-01,FAMB11B,"4.032,50",57.0,"R$ 35,4410","0,8687%","2,7852%","5,3667%","9,7961%","0,9284%","0,8944%","0,8163%","0,8687%","0,0000%","0,8687%","0,8687%","R$ 483.362.272,4000","R$ 4.612,2354","0,8743","0,7908%","-16,1890%","-15,5263%","-8,8103%","0,0000%",N/A,1
2018-02-01,PQDP11,"3.200,00",35.0,"R$ 14,5987","0,4496%","1,2925%","2,5997%","5,8559%","0,4308%","0,4333%","0,4880%","5,8559%","1,6275%","2,0845%","67,5270%","R$ 634.974.565,4100","R$ 2.662,6239","1,2018","0,5483%","1,6711%","2,2285%","11,6675%","1,9000%",N/A,1
2018-02-01,PRSV11,"417,90",78.0,"R$ 0,7600","0,1936%","0,7615%","1,9498%","4,0308%","0,2538%","0,3250%","0,3359%","4,0308%","-1,8473%","-1,6573%","-16,0998%","R$ 78.974.231,6300","R$ 404,9961","1,0319","0,1877%","-37,2655%","-37,1478%","-35,5185%",N/A,N/A,2
2018-02-01,WPLZ11B,"74,00",171.0,"R$ 0,1326","0,1792%","0,3286%","0,6040%","2,0509%","0,1095%","0,1007%","0,1709%","1,6421%","0,0000%","0,1792%","0,5692%","R$ 80.266.632,6100","R$ 81,1316","0,9121",,,,,"8,7000%",N/A,1
2018-02-01,TBOF11,"80,99",5543.0,"R$ 0,1516","0,1949%","0,6370%","1,3417%","3,6155%","0,2123%","0,2236%","0,3013%","3,6155%","5,1081%","5,3130%","26,1097%","R$ 799.513.175,3500","R$ 79,5536","1,0181","0,1905%","25,0342%","25,2725%","31,0085%","39,8000%",N/A,1
2018-02-01,VLOL11,"89,28",1421.0,"R$ 0,3177","0,3530%","1,1966%","2,5496%","5,6264%","0,3989%","0,4249%","0,4689%","0,3530%","0,0000%","0,3530%","0,3530%","R$ 132.462.712,6500","R$ 74,2160","1,2030","0,4909%","-9,1864%","-8,7406%","-3,7575%","11,2100%",N/A,1
2018-02-01,AGCX11,"1.250,00",218.0,"R$ 7,2800","0,5719%","1,8454%","3,6982%","7,6382%","0,6151%","0,6164%","0,6365%","0,5719%","0,0000%","0,5719%","0,5719%","R$ 431.767.796,6500","R$ 1.066,0933","1,1725","0,7917%","-0,1405%","0,6501%","7,9979%",N/A,N/A,41
