Data,Códigodo fundo,Setor,Preço Atual,Volume (21D),Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
2019-02-11,SCPF11,Shoppings,"11,20",1784.0,"R$ 0,1073","0,9584%","1,8118%","3,1520%","6,0062%","0,6039%","0,5253%","0,5005%","0,9584%","0,0000%","0,9584%","0,9584%","R$ 48.248.561,59","R$ 11,49","0,9750","0,4348%","1,6617%","2,1037%","10,3108%","6,95%",N/A,1
2019-02-11,SHPH11,Shoppings,"956,07",85.0,"R$ 5,5000","0,5753%","1,3343%","2,4666%","4,5720%","0,4448%","0,4111%","0,3810%","0,5753%","0,0000%","0,5753%","0,5753%","R$ 431.598.060,05","R$ 708,76","1,3489","0,5009%","-0,3488%","0,1503%","2,5453%","1,80%",N/A,1
2019-02-11,ONEF11,Lajes Corporativas,"142,87",458.0,"R$ 0,7200","0,5040%","1,5453%","3,1662%","6,3672%","0,5151%","0,5277%","0,5306%","0,5040%","0,0000%","0,5040%","0,5040%","R$ 101.570.589,76","R$ 111,49","1,2814","0,6458%","0,0165%","0,6624%","10,3319%","0,00%",N/A,1
2019-02-11,FVPQ11,Shoppings,"190,00",3677.0,"R$ 1,6500","0,8549%","2,1399%","3,6010%","6,0414%","0,7133%","0,6002%","0,5034%","0,8549%","0,0000%","0,8549%","0,8549%","R$ 517.277.631,75","R$ 188,16","1,0098","0,7069%","0,2593%","0,9680%","11,2972%","5,27%",N/A,1
2019-02-11,FIVN11,Shoppings,"2,92",829.0,"R$ 0,0000","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%","0,0000%",N/A,"0,0000%","0,0000%","0,0000%","R$ 87.596.013,46","R$ 9,31","0,3138",N/A,N/A,N/A,N/A,"56,00%",N/A,1
2019-02-11,RBBV11,Títulos e Val. Mob.,"75,99",692.0,"R$ 0,1059","0,1402%","1,6784%","4,4419%","7,8102%","0,5595%","0,7403%","0,6508%","0,1402%","0,0000%","0,1402%","0,1402%","R$ 125.321.923,36","R$ 99,92","0,7605",N/A,N/A,N/A,N/A,N/A,N/A,1
2019-02-11,JSRE11,Híbrido,"106,99",11794.0,"R$ 0,5700","0,5530%","1,7009%","3,2192%","6,3056%","0,5670%","0,5365%","0,5255%","0,5530%","0,0000%","0,5530%","0,5530%","R$ 892.142.008,03","R$ 110,39","0,9692","0,5073%","1,1537%","1,6669%","6,8460%","2,00%",N/A,2
2019-02-11,KNRE11,Residencial,"9,98",6577.0,"R$ 0,1348","1,4264%","2,0824%","2,6762%","11,0295%","0,6941%","0,4460%","0,9191%","11,0295%","2,7174%","4,1825%","-6,5895%","R$ 131.433.387,35","R$ 7,09","1,4083","1,9021%","-1,9163%","-0,0506%","647,2706%",N/A,N/A,0
2019-02-11,KNRI11,Híbrido,"153,00",15812.0,"R$ 0,7400","0,4927%","1,4859%","3,2113%","6,3773%","0,4953%","0,5352%","0,5314%","0,4927%","0,0000%","0,4927%","0,4927%","R$ 2.235.726.955,59","R$ 144,02","1,0624","0,5138%","0,0124%","0,5263%","7,5812%","8,20%","11,15%",16
2019-02-11,KNCR11,Títulos e Val. Mob.,"104,55",25048.0,"R$ 0,5600","0,5298%","1,5093%","3,2587%","6,6867%","0,5031%","0,5431%","0,5572%","0,5298%","0,0000%","0,5298%","0,5298%","R$ 3.531.703.072,82","R$ 104,46","1,0009","0,4882%","0,1506%","0,6396%","7,1480%",N/A,N/A,0
2019-02-11,MXRF11,Híbrido,"10,73",75606.0,"R$ 0,0600","0,5333%","1,7087%","3,7047%","8,2150%","0,5696%","0,6175%","0,6846%","0,5333%","0,0000%","0,5333%","0,5333%","R$ 303.926.356,05","R$ 9,65","1,1115","0,6215%","0,0997%","0,7219%","11,7865%",N/A,N/A,0
2019-02-11,MFII11,Híbrido,"99,99",4907.0,"R$ 1,1600","1,1600%","3,5221%","4,8793%","9,6321%","1,1740%","0,8132%","0,8027%","1,1600%","0,0000%","1,1600%","1,1600%","R$ 203.821.146,40","R$ 101,78","0,9824","1,1103%","3,2527%","4,3991%","3,1241%",N/A,N/A,9
